src_table,reason,rows_rejected,value_carried_ngn,revenue_value_at_risk_ngn,affects_revenue
bookings,,58,458185787.0,0.0,False
bookings,exact_duplicate_booking,30,295433323.0,0.0,False
bookings,excel_blank_spacer_row,13,0.0,0.0,False
bookings,duplicate_booking_conflicting_vat_flag,7,162752464.0,0.0,False
bookings,excel_monthly_subtotal_row,6,0.0,0.0,False
bookings,excel_footer_note_row,1,0.0,0.0,False
bookings,excel_grand_total_row,1,0.0,0.0,False
clients,,182,0.0,0.0,False
clients,fuzzy_duplicate_client,124,0.0,0.0,False
clients,duplicate_client_id_row,58,0.0,0.0,False
crew_timesheets,,542,80187000.0,0.0,False
crew_timesheets,orphan_booking_id,319,45056500.0,0.0,False
crew_timesheets,exact_duplicate_row,223,35130500.0,0.0,False
marketing_spend,,117,23418891.0,0.0,False
marketing_spend,exact_duplicate_row_double_submitted,117,23418891.0,0.0,False
merch_orders,,1289,1424024500.0,184743300.0,True
merch_orders,exact_duplicate_row,786,1239281200.0,0.0,False
merch_orders,orphan_client_id,313,179719000.0,179719000.0,True
merch_orders,placeholder_quantity_9999,190,5024300.0,5024300.0,True
merch_refunds,,257,11795362.0,11795362.0,True
merch_refunds,orphan_order_id,174,7600912.0,7600912.0,True
merch_refunds,order_quarantined,83,4194450.0,4194450.0,True
,,2445,1997611540.0,196538662.0,True
