rate_date,from_currency,rate,is_filled,is_corrected
2023-01-01,GBP,568.04,True,False
2023-01-01,USD,464.6037,True,False
2023-01-02,GBP,568.04,False,False
2023-01-02,USD,464.6037,False,False
2023-01-03,GBP,570.79,False,False
2023-01-03,USD,464.089,False,False
2023-01-04,GBP,569.2,False,False
2023-01-04,USD,468.4062,False,False
2023-01-05,GBP,574.9604,False,False
2023-01-05,USD,469.7178,False,False
2023-01-06,GBP,577.2317,False,False
2023-01-06,USD,471.3667,False,False
2023-01-07,GBP,577.2317,True,False
2023-01-07,USD,471.3667,True,False
2023-01-08,GBP,577.2317,True,False
2023-01-08,USD,471.3667,True,False
2023-01-09,GBP,571.3005,False,False
2023-01-09,USD,474.9086,False,False
2023-01-10,GBP,574.97,False,False
2023-01-10,USD,470.7717,False,False
2023-01-11,GBP,574.97,True,False
2023-01-11,USD,470.7717,True,False
2023-01-12,GBP,578.3677,False,False
2023-01-12,USD,470.9457,False,False
2023-01-13,GBP,574.1625,False,False
2023-01-13,USD,466.6136,False,False
2023-01-14,GBP,574.1625,True,False
2023-01-14,USD,466.6136,True,False
2023-01-15,GBP,574.1625,True,False
2023-01-15,USD,466.6136,True,False
2023-01-16,GBP,576.9544,False,False
2023-01-16,USD,475.5216,False,False
2023-01-17,GBP,574.75,False,False
2023-01-17,USD,476.6171,False,False
2023-01-18,GBP,576.54,False,False
2023-01-18,USD,477.8521,False,False
2023-01-19,GBP,578.67,False,False
2023-01-19,USD,481.2516,False,False
2023-01-20,GBP,574.67,False,False
2023-01-20,USD,484.272,False,False
2023-01-21,GBP,574.67,True,False
2023-01-21,USD,484.272,True,False
2023-01-22,GBP,574.67,True,False
2023-01-22,USD,484.272,True,False
2023-01-23,GBP,577.3394,False,False
2023-01-23,USD,480.3557,False,False
2023-01-24,GBP,579.2432,False,False
2023-01-24,USD,482.7386,False,False
2023-01-25,GBP,575.6409,False,False
2023-01-25,USD,484.5504,False,False
2023-01-26,GBP,573.5757,False,False
2023-01-26,USD,485.9226,False,False
