booking_code,service_name,status,is_cancelled,shoot_date,net_amount_ngn,labour_ngn,trusted_min_labour_ngn,crew_rows,work_days,margin_ngn,loss,genuine_loss,artefact_loss,no_timesheets
BK-01001,Event Coverage,Completed,False,2023-01-02,2542000.0,350000.0,350000.0,4,1.0,2192000.0,False,False,False,False
BK-01002,Photoshoot,Invoiced,False,2023-01-04,1152000.0,959500.0,923500.0,5,1.0,192500.0,False,False,False,False
BK-01003,Corporate Documentary,Completed,False,2023-01-04,7726000.0,1212000.0,1212000.0,8,1.0,6514000.0,False,False,False,False
BK-01004,Studio Rental,Postponed,False,2023-01-05,1386000.0,603500.0,603500.0,3,1.0,782500.0,False,False,False,False
BK-01005,Wedding Film,Completed,False,2023-01-05,4546868.3,4636000.0,4209500.0,39,5.0,-89131.70000000019,True,False,True,False
BK-01007,Commercial / TVC,Completed,False,2023-01-08,26978000.0,585500.0,284500.0,5,1.0,26392500.0,False,False,False,False
BK-01008,Commercial / TVC,Completed,False,2023-01-08,26238000.0,875500.0,821500.0,5,1.0,25362500.0,False,False,False,False
BK-01009,Event Coverage,Completed,False,2023-01-08,3764850.0,1250000.0,1176000.0,8,2.0,2514850.0,False,False,False,False
BK-01010,Commercial / TVC,In Production,False,2023-01-12,32598000.0,690500.0,620000.0,6,1.0,31907500.0,False,False,False,False
BK-01011,Studio Rental,Completed,False,2023-01-12,148200.0,721000.0,502000.0,6,1.0,-572800.0,True,True,False,False
BK-01012,Wedding Film,Postponed,False,2023-01-12,772350.95,1025500.0,697000.0,7,1.0,-253149.05000000005,True,False,True,False
BK-01013,Wedding Film,Completed,False,2023-01-17,5453000.0,1437000.0,1437000.0,8,1.0,4016000.0,False,False,False,False
BK-01015,Unknown,Postponed,False,2023-01-24,25056000.0,1014000.0,1014000.0,4,1.0,24042000.0,False,False,False,False
BK-01016,Wedding Film,Invoiced,False,2023-01-26,3550000.0,1470000.0,1429500.0,8,2.0,2080000.0,False,False,False,False
BK-01018,Studio Rental,Completed,False,2023-01-26,1165000.0,608500.0,454500.0,3,1.0,556500.0,False,False,False,False
BK-01019,Commercial / TVC,Completed,False,2023-01-26,5563813.77,531500.0,531500.0,4,1.0,5032313.77,False,False,False,False
BK-01020,Studio Rental,Completed,False,2023-01-29,1062500.0,1821000.0,1821000.0,8,1.0,-758500.0,True,True,False,False
BK-01021,Wedding Film,Completed,False,2023-01-30,8540000.0,2022500.0,1842000.0,16,2.0,6517500.0,False,False,False,False
BK-01022,Unknown,Completed,False,2023-01-30,4842000.0,820500.0,820500.0,6,2.0,4021500.0,False,False,False,False
BK-01023,Event Coverage,Completed,False,2023-01-31,2095000.0,1134000.0,573000.0,6,1.0,961000.0,False,False,False,False
BK-01024,Corporate Documentary,Invoiced,False,2023-02-02,3293475.3,1221500.0,1221500.0,7,1.0,2071975.2999999998,False,False,False,False
BK-01025,Wedding Film,Completed,False,2023-02-02,2882000.0,562500.0,562500.0,6,2.0,2319500.0,False,False,False,False
BK-01026,Corporate Documentary,Completed,False,2023-02-03,14251000.0,379500.0,379500.0,4,1.0,13871500.0,False,False,False,False
BK-01028,Unknown,Postponed,False,2023-02-04,407000.0,952500.0,952500.0,7,1.0,-545500.0,True,True,False,False
BK-01029,Studio Rental,Completed,False,2023-02-04,825000.0,1008500.0,1008500.0,6,1.0,-183500.0,True,True,False,False
BK-01030,Commercial / TVC,Completed,False,2023-02-04,6830000.0,677000.0,677000.0,3,1.0,6153000.0,False,False,False,False
BK-01031,Wedding Film,Completed,False,2023-02-05,3355000.0,400500.0,400500.0,3,1.0,2954500.0,False,False,False,False
BK-01032,Music Video,Postponed,False,2023-02-06,10037000.0,1491000.0,1491000.0,8,3.0,8546000.0,False,False,False,False
BK-01033,Corporate Documentary,Postponed,False,2023-02-07,13725000.0,1712500.0,1579000.0,12,2.0,12012500.0,False,False,False,False
BK-01034,Music Video,Completed,False,2023-02-07,11186000.0,610000.0,610000.0,5,1.0,10576000.0,False,False,False,False
BK-01035,Corporate Documentary,In Production,False,2023-02-07,7585000.0,1485000.0,1485000.0,10,2.0,6100000.0,False,False,False,False
BK-01037,Corporate Documentary,Invoiced,False,2023-02-09,10077000.0,1575500.0,1354500.0,12,1.0,8501500.0,False,False,False,False
BK-01038,Studio Rental,Completed,False,2023-02-09,169000.0,1798000.0,1439500.0,8,1.0,-1629000.0,True,True,False,False
BK-01039,Commercial / TVC,Completed,False,2023-02-10,45968000.0,636000.0,557000.0,4,1.0,45332000.0,False,False,False,False
BK-01041,Event Coverage,Completed,False,2023-02-11,1231488.63,833500.0,833500.0,5,1.0,397988.6299999999,False,False,False,False
BK-01044,Commercial / TVC,Completed,False,2023-02-14,4707592.18,1514000.0,1514000.0,10,2.0,3193592.1799999997,False,False,False,False
BK-01045,Photoshoot,Postponed,False,2023-02-15,2389000.0,2426000.0,2194000.0,15,3.0,-37000.0,True,False,True,False
BK-01046,Music Video,Invoiced,False,2023-02-16,3597000.0,659500.0,659500.0,5,1.0,2937500.0,False,False,False,False
BK-01047,Photoshoot,Completed,False,2023-02-17,3040000.0,494000.0,494000.0,4,1.0,2546000.0,False,False,False,False
BK-01048,Event Coverage,Completed,False,2023-02-19,1350000.0,474500.0,474500.0,3,1.0,875500.0,False,False,False,False
BK-01049,Music Video,Completed,False,2023-02-19,5189000.0,750000.0,750000.0,5,1.0,4439000.0,False,False,False,False
BK-01050,Studio Rental,Completed,False,2023-02-19,895000.0,430000.0,430000.0,5,1.0,465000.0,False,False,False,False
BK-01051,Wedding Film,Completed,False,2023-02-20,2177646.65,415000.0,415000.0,2,1.0,1762646.65,False,False,False,False
BK-01052,Photoshoot,Completed,False,2023-02-22,1486000.0,731000.0,731000.0,3,1.0,755000.0,False,False,False,False
BK-01053,Commercial / TVC,Completed,False,2023-02-22,46004000.0,2517500.0,2271500.0,16,3.0,43486500.0,False,False,False,False
BK-01055,Unknown,Completed,False,2023-02-25,1391000.0,1389500.0,1389500.0,8,1.0,1500.0,False,False,False,False
BK-01056,Photoshoot,Completed,False,2023-02-26,2986000.0,730500.0,531500.0,6,2.0,2255500.0,False,False,False,False
BK-01057,Music Video,Invoiced,False,2023-02-26,4502000.0,675500.0,675500.0,5,2.0,3826500.0,False,False,False,False
BK-01058,Wedding Film,Completed,False,2023-02-26,5177000.0,560000.0,497000.0,4,1.0,4617000.0,False,False,False,False
BK-01059,Music Video,Postponed,False,2023-02-26,17446000.0,1127500.0,992000.0,5,1.0,16318500.0,False,False,False,False
BK-01061,Event Coverage,Completed,False,2023-02-27,883000.0,1030500.0,831500.0,4,1.0,-147500.0,True,False,True,False
BK-01062,Wedding Film,Completed,False,2023-02-27,4630000.0,1191000.0,1191000.0,9,3.0,3439000.0,False,False,False,False
BK-01063,Event Coverage,Completed,False,2023-02-27,3131000.0,421500.0,421500.0,6,1.0,2709500.0,False,False,False,False
BK-01064,Studio Rental,Invoiced,False,2023-03-01,287000.0,1369000.0,1066500.0,6,2.0,-1082000.0,True,True,False,False
BK-01065,Studio Rental,Completed,False,2023-03-01,977000.0,710000.0,593000.0,6,1.0,267000.0,False,False,False,False
BK-01066,Photoshoot,Completed,False,2023-03-01,2800000.0,909000.0,909000.0,5,1.0,1891000.0,False,False,False,False
BK-01067,Short Film,Completed,False,2023-03-02,17827000.0,1571500.0,1571500.0,5,1.0,16255500.0,False,False,False,False
BK-01068,Photoshoot,Unknown,False,2023-03-02,958971.23,282500.0,282500.0,3,1.0,676471.23,False,False,False,False
BK-01069,Music Video,Completed,False,2023-03-02,3990000.0,808000.0,698000.0,6,1.0,3182000.0,False,False,False,False
BK-01070,Photoshoot,Completed,False,2023-03-02,5634000.0,783500.0,783500.0,12,4.0,4850500.0,False,False,False,False
BK-01071,Wedding Film,Postponed,False,2023-03-03,4077000.0,1162500.0,1162500.0,8,1.0,2914500.0,False,False,False,False
BK-01072,Event Coverage,Completed,False,2023-03-03,1179900.0,364500.0,364500.0,4,1.0,815400.0,False,False,False,False
BK-01073,Photoshoot,Completed,False,2023-03-03,1887000.0,1029000.0,1029000.0,5,1.0,858000.0,False,False,False,False
BK-01074,Corporate Documentary,Postponed,False,2023-03-04,19140000.0,4183500.0,3847500.0,23,3.0,14956500.0,False,False,False,False
BK-01075,Wedding Film,In Production,False,2023-03-06,2757000.0,525000.0,525000.0,3,1.0,2232000.0,False,False,False,False
BK-01076,Event Coverage,Completed,False,2023-03-07,3303000.0,385000.0,385000.0,3,1.0,2918000.0,False,False,False,False
BK-01077,Music Video,Postponed,False,2023-03-09,12390000.0,970500.0,970500.0,12,2.0,11419500.0,False,False,False,False
BK-01078,Commercial / TVC,Completed,False,2023-03-09,12130000.0,278000.0,278000.0,2,1.0,11852000.0,False,False,False,False
BK-01079,Wedding Film,Postponed,False,2023-03-10,5987000.0,614500.0,614500.0,3,1.0,5372500.0,False,False,False,False
BK-01080,Wedding Film,Invoiced,False,2023-03-10,2685000.0,1283000.0,1283000.0,5,1.0,1402000.0,False,False,False,False
BK-01081,Photoshoot,Unknown,False,2023-03-11,1363847.6,1716500.0,1511500.0,10,2.0,-352652.3999999999,True,True,False,False
BK-01082,Event Coverage,Invoiced,False,2023-03-12,3538000.0,768000.0,496000.0,3,1.0,2770000.0,False,False,False,False
BK-01084,Photoshoot,Completed,False,2023-03-12,3223000.0,1320500.0,1185000.0,5,1.0,1902500.0,False,False,False,False
BK-01085,Event Coverage,Completed,False,2023-03-13,560448.02,1733500.0,1599000.0,8,1.0,-1173051.98,True,True,False,False
BK-01086,Wedding Film,Invoiced,False,2023-03-14,2252000.0,806500.0,637000.0,4,1.0,1445500.0,False,False,False,False
BK-01087,Photoshoot,Completed,False,2023-03-15,824000.0,947000.0,947000.0,6,1.0,-123000.0,True,True,False,False
BK-01088,Commercial / TVC,Completed,False,2023-03-15,4009038.71,1639000.0,1639000.0,10,2.0,2370038.71,False,False,False,False
BK-01089,Commercial / TVC,Completed,False,2023-03-16,37866000.0,2383000.0,2383000.0,12,1.0,35483000.0,False,False,False,False
BK-01090,Event Coverage,Completed,False,2023-03-17,2056000.0,448500.0,448500.0,3,1.0,1607500.0,False,False,False,False
BK-01091,Unknown,Completed,False,2023-03-17,6405000.0,545000.0,467000.0,4,1.0,5860000.0,False,False,False,False
BK-01092,Wedding Film,Completed,False,2023-03-18,7584000.0,977000.0,977000.0,8,2.0,6607000.0,False,False,False,False
BK-01093,Event Coverage,Postponed,False,2023-03-18,3817000.0,422500.0,422500.0,3,1.0,3394500.0,False,False,False,False
BK-01094,Unknown,Invoiced,False,2023-03-18,4791000.0,834500.0,834500.0,4,1.0,3956500.0,False,False,False,False
