collection,year_quarter,net_ngn,cogs_ngn,contribution_ngn
35mm Club,2023Q1,10278800.68,4325300.0,5953500.68
35mm Club,2023Q2,11375871.4,4750300.0,6625571.4
35mm Club,2023Q3,13749849.01,5209100.0,8540749.01
35mm Club,2023Q4,20775615.38,7817400.0,12958215.38
35mm Club,2024Q1,17825909.07,6468700.0,11357209.07
35mm Club,2024Q2,15320354.85,5310500.0,10009854.85
35mm Club,2024Q3,16708204.3,5681500.0,11026704.3
35mm Club,2024Q4,26024631.7,8626800.0,17397831.7
35mm Club,2025Q1,25578872.07,8161800.0,17417072.07
35mm Club,2025Q2,23209658.16,7157800.0,16051858.16
Anniversary ’05,2023Q1,9905080.39,3979200.0,5925880.39
Anniversary ’05,2023Q2,9950416.26,3631900.0,6318516.26
Anniversary ’05,2023Q3,11052027.25,4205200.0,6846827.25
Anniversary ’05,2023Q4,19155562.91,6776200.0,12379362.91
Anniversary ’05,2024Q1,16283089.27,5467000.0,10816089.27
Anniversary ’05,2024Q2,16558074.65,5302400.0,11255674.65
Anniversary ’05,2024Q3,15795886.92,5005200.0,10790686.92
Anniversary ’05,2024Q4,20342699.45,6566800.0,13775899.45
Anniversary ’05,2025Q1,20307275.29,6126600.0,14180675.29
Anniversary ’05,2025Q2,22830593.21,6812900.0,16017693.21
Behind The Lens,2023Q1,13590237.45,6070500.0,7519737.45
Behind The Lens,2023Q2,14290673.19,5814200.0,8476473.19
Behind The Lens,2023Q3,13502569.34,5189300.0,8313269.34
Behind The Lens,2023Q4,23246782.86,8920700.0,14326082.86
Behind The Lens,2024Q1,18253389.33,7055700.0,11197689.33
Behind The Lens,2024Q2,14666799.5,5492200.0,9174599.5
Behind The Lens,2024Q3,19787253.37,6754700.0,13032553.37
Behind The Lens,2024Q4,29674316.54,9555100.0,20119216.54
Behind The Lens,2025Q1,23076714.72,7519900.0,15556814.72
Behind The Lens,2025Q2,28794316.33,9086200.0,19708116.33
Golden Hour,2023Q1,19587137.82,9214000.0,10373137.82
Golden Hour,2023Q2,17690776.1,8102700.0,9588076.1
Golden Hour,2023Q3,18819620.17,8860300.0,9959320.17
Golden Hour,2023Q4,26805800.95,11349700.0,15456100.95
Golden Hour,2024Q1,20656703.79,9024400.0,11632303.79
Golden Hour,2024Q2,23991950.54,9888600.0,14103350.54
Golden Hour,2024Q3,27105611.37,10282100.0,16823511.37
Golden Hour,2024Q4,36215451.26,13900500.0,22314951.26
Golden Hour,2025Q1,33464268.74,12620600.0,20843668.74
Golden Hour,2025Q2,31647862.41,11956400.0,19691462.41
Harmattan Drop,2023Q1,15085085.14,7719800.0,7365285.14
Harmattan Drop,2023Q2,16748166.66,8462900.0,8285266.66
Harmattan Drop,2023Q3,18731582.38,8783700.0,9947882.38
Harmattan Drop,2023Q4,31725915.1,13913900.0,17812015.1
Harmattan Drop,2024Q1,33266413.91,15014500.0,18251913.91
Harmattan Drop,2024Q2,25951455.17,10918700.0,15032755.17
Harmattan Drop,2024Q3,29710873.84,12333000.0,17377873.84
Harmattan Drop,2024Q4,40005123.96,15721700.0,24283423.96
Harmattan Drop,2025Q1,34425347.47,13168300.0,21257047.47
Harmattan Drop,2025Q2,41616831.39,15585900.0,26030931.39
Lagos Nights,2023Q1,12065713.72,5799800.0,6265913.72
Lagos Nights,2023Q2,12227063.39,5537200.0,6689863.39
Lagos Nights,2023Q3,10094228.99,4141200.0,5953028.99
Lagos Nights,2023Q4,18331417.87,8306200.0,10025217.87
Lagos Nights,2024Q1,16647805.39,6585200.0,10062605.39
Lagos Nights,2024Q2,15494066.82,6217600.0,9276466.82
Lagos Nights,2024Q3,17008627.26,6261800.0,10746827.26
Lagos Nights,2024Q4,25762921.71,9388600.0,16374321.71
Lagos Nights,2025Q1,22288347.85,7743900.0,14544447.85
Lagos Nights,2025Q2,21472706.23,7537900.0,13934806.23
Studio Basics,2023Q1,8583494.79,4200900.0,4382594.79
Studio Basics,2023Q2,6621183.0,3126100.0,3495083.0
Studio Basics,2023Q3,7323122.89,3415300.0,3907822.89
Studio Basics,2023Q4,13815104.94,6010900.0,7804204.94
Studio Basics,2024Q1,12363639.17,5293300.0,7070339.17
Studio Basics,2024Q2,9073848.51,3839700.0,5234148.51
Studio Basics,2024Q3,12007492.97,4842900.0,7164592.97
Studio Basics,2024Q4,16330405.38,6132800.0,10197605.38
Studio Basics,2025Q1,18036923.91,6611600.0,11425323.91
Studio Basics,2025Q2,18378582.23,6421000.0,11957582.23
