sku,product_name,collection,net_ngn,cogs_ngn,contribution_ngn,units
XT-STI-032,Studio Basics Sticker Pack,Studio Basics,2824494.66,889700.0,1934794.66,1271
XT-STI-013,35mm Club Sticker Pack,35mm Club,2970984.94,1011200.0,1959784.94,1264
XT-STI-010,Lagos Nights Sticker Pack,Lagos Nights,4472392.77,1897200.0,2575192.77,1116
XT-LEN-024,Golden Hour Lens Cloth,Golden Hour,4827400.57,1943100.0,2884300.57,1143
XT-STI-044,Behind The Lens Sticker Pack,Behind The Lens,4849939.52,1849400.0,3000539.52,1321
XT-STI-026,Golden Hour Sticker Pack,Golden Hour,5113244.33,1839400.0,3273844.33,1082
XT-STI-033,Anniversary ’05 Sticker Pack,Anniversary ’05,5393643.55,2057000.0,3336643.55,1210
XT-LEN-001,Harmattan Drop Lens Cloth,Harmattan Drop,6373140.89,3009600.0,3363540.89,1254
XT-LEN-019,35mm Club Lens Cloth,35mm Club,5578021.81,2169000.0,3409021.81,1205
XT-LEN-034,Anniversary ’05 Lens Cloth,Anniversary ’05,5233583.14,1609400.0,3624183.14,1238
XT-LEN-028,Studio Basics Lens Cloth,Studio Basics,6825850.15,2866600.0,3959250.15,1303
XT-LEN-039,Behind The Lens Lens Cloth,Behind The Lens,7096308.16,2384500.0,4711808.16,1255
XT-MUG-018,35mm Club Mug,35mm Club,8798736.45,3564100.0,5234636.45,1229
XT-MUG-041,Behind The Lens Mug,Behind The Lens,9938370.41,3500000.0,6438370.41,1250
XT-MUG-035,Anniversary ’05 Mug,Anniversary ’05,10789285.45,4236800.0,6552485.45,1324
XT-POS-027,Studio Basics Poster A2,Studio Basics,13618253.66,6611000.0,7007253.66,1202
XT-MUG-003,Harmattan Drop Mug,Harmattan Drop,14079729.32,6715200.0,7364529.32,1399
XT-TOT-008,Lagos Nights Tote Bag,Lagos Nights,11341947.43,3481400.0,7860547.43,1339
XT-POS-006,Harmattan Drop Poster A2,Harmattan Drop,15766621.57,6605500.0,9161121.57,1201
XT-POS-015,35mm Club Poster A2,35mm Club,16148604.85,6852900.0,9295704.85,1293
XT-TOT-004,Harmattan Drop Tote Bag,Harmattan Drop,14459594.09,4485600.0,9973994.09,1246
XT-POS-020,Golden Hour Poster A2,Golden Hour,19792430.42,9621600.0,10170830.42,1266
XT-TOT-023,Golden Hour Tote Bag,Golden Hour,14611582.05,4258700.0,10352882.05,1151
XT-CAP-007,Lagos Nights Cap,Lagos Nights,17405645.72,6354400.0,11051245.72,1222
XT-CAP-016,35mm Club Cap,35mm Club,19735540.06,8534200.0,11201340.06,1202
XT-CAP-031,Studio Basics Cap,Studio Basics,18294624.03,6843200.0,11451424.03,1222
XT-CAP-043,Behind The Lens Cap,Behind The Lens,19836450.75,7772000.0,12064450.75,1340
XT-TEE-022,Golden Hour Tee,Golden Hour,25151588.55,11092900.0,14058688.55,1219
XT-TEE-030,Studio Basics Tee,Studio Basics,23025864.99,8862000.0,14163864.99,1266
XT-TEE-017,35mm Club Tee,35mm Club,25968738.79,10318200.0,15650538.79,1186
XT-TEE-038,Anniversary ’05 Tee,Anniversary ’05,25475501.16,9135600.0,16339901.16,1324
XT-TEE-040,Behind The Lens Tee,Behind The Lens,29696553.16,12355200.0,17341353.16,1287
XT-OVE-042,Behind The Lens Oversized Tee,Behind The Lens,26377948.72,8047000.0,18330948.72,1238
XT-OVE-012,35mm Club Oversized Tee,35mm Club,37335208.69,12167100.0,25168108.69,1229
XT-HOO-037,Anniversary ’05 Hoodie,Anniversary ’05,42870390.93,14545200.0,28325190.93,1173
XT-HOO-009,Lagos Nights Hoodie,Lagos Nights,56404804.54,27097600.0,29307204.54,1168
XT-HOO-029,Studio Basics Hoodie,Studio Basics,57944710.3,23822000.0,34122710.3,1108
XT-HOO-025,Golden Hour Hoodie,Golden Hour,58176557.79,20791000.0,37385557.79,1223
XT-HOO-005,Harmattan Drop Hoodie,Harmattan Drop,72816972.69,33508500.0,39308472.69,1335
XT-HOO-014,35mm Club Hoodie,35mm Club,64311931.03,18892500.0,45419431.03,1145
XT-LIM-036,Anniversary ’05 Limited Print,Anniversary ’05,72418301.37,22289400.0,50128901.37,1218
XT-LIM-011,Lagos Nights Limited Print,Lagos Nights,81768108.77,28688800.0,53079308.77,1316
XT-LIM-045,Behind The Lens Limited Print,Behind The Lens,101087481.91,35550400.0,65537081.91,1307
XT-LIM-021,Golden Hour Limited Print,Golden Hour,128312379.44,55652600.0,72659779.44,1202
XT-LIM-002,Harmattan Drop Limited Print,Harmattan Drop,163770736.46,67298000.0,96472736.46,1330
