month,production_revenue_ngn,merch_net_revenue_ngn,labour_cost_ngn,ad_spend_ngn,merch_cogs_ngn,revenue_minus_known_cost_ngn,known_cost_pct_of_revenue
2023-01,165179583.0,27690050.0,24713000.0,26366846.0,13274800.0,128514987.0,33.4
2023-02,242803203.0,30258200.0,35384500.0,26006560.0,13737600.0,197932743.0,27.5
2023-03,311547772.0,31147300.0,51695500.0,24437431.0,14297100.0,252265041.0,26.4
2023-04,768108938.0,29118100.0,108638000.0,28567417.0,12676200.0,647345421.0,18.8
2023-05,408972817.0,26475150.0,62271000.0,25252925.0,11978100.0,335945942.0,22.9
2023-06,601177235.0,33310900.0,97983000.0,28282130.0,14771000.0,493452005.0,22.2
2023-07,610151431.0,31809000.0,94921500.0,26342105.0,13559000.0,507137826.0,21.0
2023-08,702927567.0,30082050.0,106740500.0,30060009.0,12465200.0,583743908.0,20.4
2023-09,454420104.0,31381950.0,68957500.0,33473604.0,13779900.0,369591050.0,23.9
2023-10,628253856.0,31572850.0,103586000.0,28586187.0,13544100.0,514110419.0,22.1
2023-11,963219714.0,65494050.0,121351500.0,29468848.0,26699100.0,851194316.0,17.3
2023-12,791107883.0,56789300.0,132899000.0,31716727.0,22851800.0,660429656.0,22.1
2024-01,162712806.0,44568450.0,22546000.0,32030061.0,18339300.0,134365895.0,35.2
2024-02,366564760.0,41077350.0,42801000.0,32509025.0,16297700.0,316034385.0,22.5
2024-03,441760630.0,49651150.0,69734000.0,28924110.0,20271800.0,372481870.0,24.2
2024-04,668652060.0,43402050.0,77059000.0,26523278.0,17071600.0,591400232.0,16.9
2024-05,520071834.0,37973400.0,84760500.0,30946378.0,15024500.0,427313856.0,23.4
2024-06,739788291.0,39681100.0,68634500.0,29617116.0,14873600.0,666344175.0,14.5
2024-07,880176616.0,48154300.0,100147500.0,30419298.0,17323000.0,780441117.0,15.9
2024-08,794970100.0,42205400.0,114903000.0,26365002.0,16332500.0,679574998.0,18.8
2024-09,943039012.0,47764250.0,78344000.0,26076932.0,17505700.0,868876630.0,12.3
2024-10,808447211.0,44547800.0,91405000.0,28416646.0,16338500.0,716834865.0,16.0
2024-11,1128825985.0,72778450.0,123555500.0,29699554.0,26215700.0,1022133681.0,14.9
2024-12,1196559071.0,77029300.0,133867500.0,30890866.0,27338100.0,1081491905.0,15.1
2025-01,271737823.0,54859100.0,25333500.0,28079743.0,19017600.0,254166080.0,22.2
2025-02,599991397.0,57026500.0,56652000.0,27386618.0,20446100.0,552533179.0,15.9
2025-03,750205017.0,65292150.0,65947000.0,34459384.0,22489000.0,692601783.0,15.1
2025-04,965956608.0,71186800.0,70831000.0,22373045.0,24564900.0,919374463.0,11.4
2025-05,1119756014.0,56813450.0,72724000.0,26896359.0,19464500.0,1057484605.0,10.1
2025-06,631523629.0,59950300.0,61756500.0,29861514.0,20528700.0,579327214.0,16.2
