quarter,production_revenue_ngn,merch_net_revenue_ngn,usd_rate,production_constant_fx_ngn,total_ngn,merch_share_pct,total_usd_equivalent,ngn_index,usd_index
2023Q1,719530558.0,89095550.0,503.24,718012032.05,808626108.0,11.02,1606839.89,45.73,79.9
2023Q2,1778258991.0,88904150.0,669.22,1731805794.11,1867163141.0,4.76,2790076.81,105.59,138.73
2023Q3,1767499101.0,93273000.0,1123.13,1662864471.66,1860772101.0,5.01,1656775.56,105.23,82.38
2023Q4,2382581453.0,153856200.0,1274.12,2187145249.85,2536437653.0,6.07,1990744.26,143.44,98.99
2024Q1,971038196.0,135296950.0,1838.57,846409368.01,1106335146.0,12.23,601735.19,62.57,29.92
2024Q2,1928512185.0,121056550.0,2365.38,1632636839.05,2049568735.0,5.91,866485.6,115.91,43.08
2024Q3,2618185727.0,138123950.0,2707.97,2066465638.33,2756309677.0,5.01,1017850.29,155.88,50.61
2024Q4,3133832267.0,194355550.0,3047.21,2258828525.14,3328187817.0,5.84,1092206.52,188.22,54.31
2025Q1,1621934236.0,177177750.0,3679.55,1182500303.6,1799111986.0,9.85,488949.26,101.75,24.31
2025Q2,2717236251.0,187950550.0,4331.9,1893466398.65,2905186801.0,6.47,670650.28,164.3,33.35
