timesheet_id,booking_id,crew_id,work_date,hours_worked,role_on_job,day_rate_charged_ngn,overtime,approved_by,dq_flags
1,BK-01001,CR-00055,2023-01-02,6.0,Grip,64000.0,False,Unknown,role_filled_from_crew_roster
2,BK-01001,CR-00011,2023-01-02,Unknown,Production Assistant,25000.0,False,Ngozi Okafor,hours_missing
3,BK-01001,CR-00026,2023-01-02,9.0,Gaffer,213000.0,False,Ngozi Okafor,role_filled_from_crew_roster
4,BK-01001,CR-00099,2023-01-02,12.0,Grip,48000.0,False,Ngozi Okafor,No issues
5,BK-01002,CR-00015,2023-01-04,12.0,Colorist,272000.0,False,Unknown,No issues
6,BK-01002,CR-00121,2023-01-04,8.0,Art Director,153000.0,False,Tunde Adeyemi,No issues
8,BK-01002,CR-00116,2023-01-04,8.0,Director of Photography,260000.0,False,Tunde Adeyemi,No issues
9,BK-01002,CR-00033,2023-01-04,9.0,Art Director,202500.0,False,Tunde Adeyemi,No issues
10,BK-01002,CR-00105,2023-01-04,8.0,Gaffer,Unknown,False,Unknown,day_rate_missing
11,BK-01003,CR-00070,2023-01-04,10.0,Camera Operator,160000.0,False,Tunde Adeyemi,No issues
12,BK-01003,CR-00045,2023-01-04,8.0,Gaffer,104000.0,False,Ngozi Okafor,No issues
13,BK-01003,CR-00043,2023-01-04,8.0,Colorist,280000.0,False,Unknown,No issues
14,BK-01003,CR-00125,2023-01-04,9.0,Art Director,102500.0,False,Unknown,No issues
15,BK-01003,CR-00098,2023-01-04,14.0,Art Director,265500.0,True,Tunde Adeyemi,hours_above_12h_cap
16,BK-01003,CR-00118,2023-01-04,12.0,Drone Operator,146000.0,False,Ngozi Okafor,role_filled_from_crew_roster
17,BK-01003,CR-00089,2023-01-04,9.0,Art Director,127000.0,False,Ngozi Okafor,No issues
18,BK-01003,CR-00012,2023-01-04,12.0,Production Assistant,27000.0,False,Ops Manager,No issues
19,BK-01004,CR-00028,2023-01-05,9.0,Colorist,287000.0,False,Unknown,No issues
20,BK-01004,CR-00092,2023-01-05,9.0,Drone Operator,141000.0,False,Ngozi Okafor,No issues
21,BK-01004,CR-00104,2023-01-05,8.0,Art Director,175500.0,False,Unknown,No issues
22,BK-01005,CR-00025,2023-01-05,9.0,Grip,61000.0,False,Unknown,No issues
23,BK-01005,CR-00025,2023-01-06,8.0,Grip,61000.0,False,Ngozi Okafor,No issues
24,BK-01005,CR-00025,2023-01-07,10.0,Grip,61000.0,False,Ngozi Okafor,No issues
25,BK-01005,CR-00025,2023-01-08,8.0,Grip,30500.0,False,Tunde Adeyemi,No issues
26,BK-01005,CR-00025,2023-01-09,8.0,Grip,61000.0,False,Tunde Adeyemi,No issues
27,BK-01005,CR-00094,2023-01-05,8.0,Editor,261000.0,False,Ngozi Okafor,No issues
28,BK-01005,CR-00094,2023-01-06,9.0,Editor,174000.0,False,Tunde Adeyemi,No issues
29,BK-01005,CR-00094,2023-01-07,12.0,Editor,174000.0,False,Ops Manager,No issues
30,BK-01005,CR-00094,2023-01-08,6.0,Editor,87000.0,False,Tunde Adeyemi,No issues
31,BK-01005,CR-00094,2023-01-09,Unknown,Editor,174000.0,False,Tunde Adeyemi,hours_missing
32,BK-01005,CR-00084,2023-01-05,9.0,Editor,165000.0,False,Unknown,role_filled_from_crew_roster
33,BK-01005,CR-00084,2023-01-06,10.0,Editor,165000.0,False,Tunde Adeyemi,No issues
34,BK-01005,CR-00084,2023-01-07,10.0,Editor,165000.0,False,Ngozi Okafor,No issues
35,BK-01005,CR-00084,2023-01-08,8.0,Editor,165000.0,False,Tunde Adeyemi,No issues
36,BK-01005,CR-00084,2023-01-09,10.0,Editor,165000.0,False,Tunde Adeyemi,No issues
37,BK-01005,CR-00063,2023-01-05,8.0,Grip,32000.0,False,Unknown,No issues
38,BK-01005,CR-00063,2023-01-06,8.0,Grip,64000.0,False,Ngozi Okafor,No issues
39,BK-01005,CR-00063,2023-01-07,Unknown,Grip,32000.0,False,Tunde Adeyemi,"hours_missing,role_filled_from_crew_roster"
40,BK-01005,CR-00063,2023-01-08,9.0,Grip,Unknown,False,Ops Manager,day_rate_missing
41,BK-01005,CR-00063,2023-01-09,8.0,Grip,64000.0,False,Ngozi Okafor,No issues
42,BK-01005,CR-00011,2023-01-05,14.0,Production Assistant,37500.0,True,Ops Manager,"hours_above_12h_cap,role_filled_from_crew_roster"
43,BK-01005,CR-00011,2023-01-06,9.0,Production Assistant,25000.0,False,Tunde Adeyemi,No issues
44,BK-01005,CR-00011,2023-01-07,14.0,Production Assistant,25000.0,True,Unknown,hours_above_12h_cap
45,BK-01005,CR-00011,2023-01-08,Unknown,Production Assistant,25000.0,False,Ngozi Okafor,hours_missing
47,BK-01005,CR-00114,2023-01-05,8.0,Colorist,292500.0,False,Ngozi Okafor,No issues
48,BK-01005,CR-00114,2023-01-06,10.0,Colorist,Unknown,False,Tunde Adeyemi,day_rate_missing
49,BK-01005,CR-00114,2023-01-07,14.0,Colorist,97500.0,True,Ngozi Okafor,"hours_above_12h_cap,role_filled_from_crew_roster"
50,BK-01005,CR-00114,2023-01-08,8.0,Colorist,195000.0,False,Tunde Adeyemi,No issues
51,BK-01005,CR-00114,2023-01-09,9.0,Colorist,195000.0,False,Ngozi Okafor,No issues
52,BK-01005,CR-00008,2023-01-05,14.0,Art Director,63000.0,True,Ngozi Okafor,hours_above_12h_cap
53,BK-01005,CR-00008,2023-01-06,8.0,Art Director,126000.0,False,Ngozi Okafor,No issues
54,BK-01005,CR-00008,2023-01-07,8.0,Art Director,189000.0,False,Unknown,No issues
55,BK-01005,CR-00008,2023-01-08,Unknown,Art Director,63000.0,False,Tunde Adeyemi,hours_missing
56,BK-01005,CR-00008,2023-01-09,10.0,Art Director,189000.0,False,Tunde Adeyemi,No issues
57,BK-01005,CR-00108,2023-01-05,10.0,Editor,154000.0,False,Tunde Adeyemi,No issues
58,BK-01005,CR-00108,2023-01-06,8.0,Editor,154000.0,False,Unknown,No issues
59,BK-01005,CR-00108,2023-01-07,12.0,Editor,77000.0,False,Tunde Adeyemi,No issues
60,BK-01005,CR-00108,2023-01-08,14.0,Editor,154000.0,True,Ops Manager,hours_above_12h_cap
61,BK-01005,CR-00108,2023-01-09,12.0,Editor,Unknown,False,Ngozi Okafor,day_rate_missing
62,BK-01007,CR-00005,2023-01-08,9.0,Editor,149000.0,False,Tunde Adeyemi,No issues
63,BK-01007,CR-00011,2023-01-08,10.0,Production Assistant,Unknown,False,Tunde Adeyemi,day_rate_missing
64,BK-01007,CR-00114,2023-01-08,9.0,Colorist,195000.0,False,Unknown,No issues
65,BK-01007,CR-00007,2023-01-08,8.0,Colorist,135500.0,False,Tunde Adeyemi,No issues
66,BK-01007,CR-00080,2023-01-08,9.0,Grip,81000.0,False,Ngozi Okafor,No issues
67,BK-01008,CR-00080,2023-01-08,14.0,Grip,54000.0,True,Tunde Adeyemi,hours_above_12h_cap
68,BK-01008,CR-00006,2023-01-08,8.0,Grip,66000.0,False,Unknown,No issues
69,BK-01008,CR-00071,2023-01-08,8.0,Director of Photography,447000.0,False,Ops Manager,No issues
70,BK-01008,CR-00036,2023-01-08,8.0,Sound Recordist,106000.0,False,Ngozi Okafor,No issues
71,BK-01008,CR-00111,2023-01-08,10.0,Art Director,202500.0,False,Tunde Adeyemi,No issues
72,BK-01009,CR-00026,2023-01-08,8.0,Gaffer,142000.0,False,Ngozi Okafor,No issues
73,BK-01009,CR-00026,2023-01-09,10.0,Gaffer,142000.0,False,Ngozi Okafor,No issues
74,BK-01009,CR-00040,2023-01-08,8.0,Gaffer,102000.0,False,Unknown,role_filled_from_crew_roster
