spend_date,channel,campaign,impressions,clicks,currency,spend_ngn,dq_flags
2023-01-01,Email / CRM,lagos_nights_launch,18667,138,NGN,44843.97,No issues
2023-01-01,Influencer,retarget_q4,79737,638,NGN,267686.87,No issues
2023-01-01,Meta Ads,showreel_push,64851,1399,NGN,545037.2,No issues
2023-01-01,TikTok Ads,wedding_season_23,82853,1529,NGN,462618.9,No issues
2023-01-01,YouTube Pre-roll,brand_always_on,15974,477,NGN,68873.67,No issues
2023-01-02,Email / CRM,wedding_season_24,77227,1286,NGN,462402.19,No issues
2023-01-02,Influencer,showreel_push,57457,992,NGN,195300.34,No issues
2023-01-02,Meta Ads,wedding_season_24,37353,839,NGN,103263.38,No issues
2023-01-02,TikTok Ads,harmattan_drop,21842,255,NGN,89771.28,No issues
2023-01-03,Google Ads,brand_always_on,19175,94,NGN,12632.0,No issues
2023-01-03,Influencer,black_friday,7428,84,NGN,31745.89,No issues
2023-01-03,Meta Ads,harmattan_drop,36191,151,NGN,13592.42,No issues
2023-01-03,YouTube Pre-roll,blackfriday24,25040,779,NGN,134758.86,No issues
2023-01-04,Email / CRM,showreel_push,23890,209,NGN,50619.97,No issues
2023-01-04,Google Ads,harmattan_drop,53480,215,NGN,20058.89,No issues
2023-01-04,Influencer,harmattan_drop,29687,280,NGN,18241.06,No issues
2023-01-04,Meta Ads,always_on,36278,822,NGN,175619.86,No issues
2023-01-04,TikTok Ads,showreel_push,6177,156,NGN,10262.15,No issues
2023-01-04,YouTube Pre-roll,harmattan_drop,5807,95,NGN,8832.49,No issues
2023-01-05,Google Ads,harmattan_drop,7698,43,NGN,16327.81,No issues
2023-01-05,Meta Ads,blackfriday24,86210,2806,NGN,700171.24,No issues
2023-01-05,TikTok Ads,harmattan_drop,36188,385,NGN,154950.38,No issues
2023-01-05,YouTube Pre-roll,wedding_season_23,7537,167,NGN,52205.48,No issues
2023-01-06,Google Ads,lagos_nights_launch,34146,797,NGN,172296.18,No issues
2023-01-06,Meta Ads,black_friday,25673,330,NGN,87555.27,No issues
2023-01-06,YouTube Pre-roll,wedding_season_24,4567,151,NGN,21683.97,No issues
2023-01-07,Google Ads,harmattan_drop,34955,969,NGN,151084.09,No issues
2023-01-07,Influencer,retarget_q4,88702,2807,NGN,868802.89,No issues
2023-01-07,Meta Ads,always_on,83937,1773,NGN,337811.6,No issues
2023-01-07,TikTok Ads,black_friday,57754,1806,NGN,365151.68,No issues
2023-01-07,YouTube Pre-roll,harmattan_drop,19335,403,NGN,159561.33,No issues
2023-01-08,Email / CRM,brand_always_on,82667,1075,NGN,198236.9,No issues
2023-01-08,Influencer,wedding_season_23,11561,337,NGN,107138.0,No issues
2023-01-08,Meta Ads,wedding_season_24,63123,1872,NGN,782517.2,No issues
2023-01-08,TikTok Ads,showreel_push,29898,524,NGN,149937.46,No issues
2023-01-08,YouTube Pre-roll,harmattan_drop,26001,200,NGN,50691.87,No issues
2023-01-09,Google Ads,brand_always_on,86742,2631,NGN,938578.69,No issues
2023-01-09,Influencer,harmattan_drop,84818,2100,NGN,524523.22,No issues
2023-01-09,Meta Ads,lagos_nights_launch,10202,282,NGN,102380.63,No issues
2023-01-10,Email / CRM,harmattan_drop,5467,177,NGN,52709.75,No issues
2023-01-10,Meta Ads,wedding_season_24,72773,1897,NGN,322178.96,No issues
2023-01-10,TikTok Ads,harmattan_drop,23419,764,NGN,217365.08,No issues
2023-01-11,Google Ads,retarget_q4,9580,128,NGN,36999.82,No issues
2023-01-11,Meta Ads,wedding_season_23,40328,877,NGN,166601.23,No issues
2023-01-11,YouTube Pre-roll,blackfriday24,85317,2443,NGN,275947.49,No issues
2023-01-12,Google Ads,showreel_push,86229,2181,NGN,693414.66,No issues
2023-01-12,Influencer,retarget_q4,10090,112,NGN,39588.05,No issues
2023-01-12,Meta Ads,retarget_q4,71080,1886,NGN,336814.25,No issues
2023-01-13,Influencer,retarget_q4,85966,2900,NGN,993732.26,No issues
2023-01-13,Meta Ads,brand_always_on,64182,477,NGN,115976.23,No issues
2023-01-13,TikTok Ads,retarget_q4,44015,1327,NGN,139206.33,No issues
2023-01-14,Email / CRM,always_on,62609,740,NGN,185082.07,No issues
2023-01-14,Google Ads,always_on,80019,477,NGN,79128.44,No issues
2023-01-14,Influencer,always_on,64654,731,NGN,51747.94,No issues
2023-01-14,Meta Ads,harmattan_drop,71380,914,NGN,240308.29,No issues
2023-01-14,TikTok Ads,blackfriday24,77257,2648,NGN,872961.0,No issues
2023-01-14,YouTube Pre-roll,blackfriday24,62129,1519,NGN,121818.41,No issues
2023-01-15,Google Ads,wedding_season_23,7546,108,NGN,16248.05,No issues
2023-01-15,Influencer,blackfriday24,56189,788,NGN,170729.33,No issues
2023-01-15,Meta Ads,blackfriday24,76040,2390,NGN,314501.97,No issues
2023-01-16,Email / CRM,harmattan_drop,18959,639,NGN,263433.12,No issues
2023-01-16,Influencer,harmattan_drop,22386,305,NGN,55535.08,No issues
2023-01-16,Meta Ads,black_friday,7327,178,NGN,62590.24,No issues
2023-01-16,TikTok Ads,harmattan_drop,59538,516,NGN,65430.68,No issues
2023-01-16,YouTube Pre-roll,wedding_season_23,24881,120,NGN,27519.38,No issues
2023-01-17,Google Ads,blackfriday24,62453,697,NGN,41874.9,No issues
2023-01-17,YouTube Pre-roll,retarget_q4,37028,222,NGN,48254.34,No issues
2023-01-18,Email / CRM,harmattan_drop,16071,269,NGN,106793.18,No issues
2023-01-18,Influencer,wedding_season_24,51356,581,NGN,121844.28,No issues
2023-01-18,Meta Ads,black_friday,35347,1084,NGN,237750.46,No issues
2023-01-18,TikTok Ads,retarget_q4,85088,403,NGN,123260.4,No issues
2023-01-18,YouTube Pre-roll,wedding_season_24,23229,753,NGN,70851.94,No issues
2023-01-19,Email / CRM,black_friday,6008,175,NGN,12595.05,No issues
2023-01-19,Google Ads,always_on,68010,1332,NGN,238401.86,No issues
2023-01-19,Influencer,retarget_q4,72092,780,NGN,229415.8,No issues
2023-01-19,TikTok Ads,harmattan_drop,59571,1670,NGN,300884.33,No issues
2023-01-19,YouTube Pre-roll,black_friday,31255,332,NGN,53856.45,No issues
2023-01-20,Email / CRM,wedding_season_24,73421,729,NGN,207704.5,No issues
2023-01-20,Google Ads,harmattan_drop,25348,793,NGN,300363.89,No issues
2023-01-20,Influencer,black_friday,32961,363,NGN,67123.94,No issues
2023-01-20,Meta Ads,retarget_q4,7840,39,NGN,14521.03,No issues
2023-01-20,YouTube Pre-roll,showreel_push,54490,1770,NGN,514668.17,No issues
2023-01-21,Email / CRM,wedding_season_24,61310,1156,NGN,113956.8,No issues
2023-01-21,Google Ads,showreel_push,28414,873,NGN,277008.38,No issues
2023-01-21,Meta Ads,wedding_season_23,32412,846,NGN,172438.5,No issues
2023-01-21,TikTok Ads,wedding_season_24,89585,2981,NGN,399181.2,No issues
2023-01-21,YouTube Pre-roll,brand_always_on,30133,424,NGN,171104.67,No issues
2023-01-22,Email / CRM,retarget_q4,16977,77,NGN,8177.06,No issues
2023-01-22,Google Ads,wedding_season_23,24640,380,NGN,51084.96,No issues
2023-01-22,TikTok Ads,retarget_q4,11804,182,NGN,61897.38,No issues
2023-01-22,YouTube Pre-roll,always_on,7427,245,NGN,83015.94,No issues
2023-01-23,TikTok Ads,showreel_push,69205,1781,NGN,172015.17,No issues
2023-01-23,YouTube Pre-roll,retarget_q4,58681,1849,NGN,641666.06,No issues
2023-01-24,Email / CRM,retarget_q4,21759,227,NGN,73291.08,No issues
2023-01-24,Google Ads,always_on,47262,273,NGN,56199.22,No issues
2023-01-24,Influencer,retarget_q4,52956,1486,NGN,239952.88,No issues
2023-01-24,TikTok Ads,harmattan_drop,83934,1843,NGN,215970.26,No issues
2023-01-24,YouTube Pre-roll,blackfriday24,24810,498,NGN,35023.77,No issues
2023-01-25,Email / CRM,lagos_nights_launch,34533,699,NGN,218799.59,No issues
2023-01-25,Google Ads,retarget_q4,54800,278,NGN,83978.13,No issues
2023-01-25,Influencer,harmattan_drop,89227,1951,NGN,245821.89,No issues
2023-01-25,TikTok Ads,brand_always_on,46110,786,NGN,223776.74,No issues
2023-01-25,YouTube Pre-roll,harmattan_drop,24729,404,NGN,43897.37,No issues
2023-01-26,Email / CRM,wedding_season_24,10434,213,NGN,65602.51,No issues
2023-01-26,Google Ads,wedding_season_23,8886,79,NGN,30406.05,No issues
2023-01-26,Meta Ads,showreel_push,6327,198,NGN,25847.11,No issues
2023-01-26,TikTok Ads,wedding_season_23,82749,2818,NGN,419331.83,No issues
2023-01-26,YouTube Pre-roll,harmattan_drop,50492,453,NGN,178091.7,No issues
2023-01-27,Email / CRM,always_on,9676,159,NGN,53772.03,No issues
2023-01-27,Google Ads,harmattan_drop,89383,1716,NGN,667923.19,No issues
2023-01-27,Influencer,black_friday,43560,182,NGN,11200.11,No issues
2023-01-27,TikTok Ads,wedding_season_24,9340,181,NGN,51182.83,No issues
2023-01-28,Email / CRM,brand_always_on,66513,895,NGN,293862.85,No issues
2023-01-28,Influencer,wedding_season_24,46717,1239,NGN,446177.52,No issues
2023-01-28,Meta Ads,lagos_nights_launch,26626,281,NGN,84654.91,No issues
2023-01-29,Email / CRM,harmattan_drop,59557,246,NGN,77376.91,No issues
2023-01-29,Google Ads,harmattan_drop,8293,75,NGN,7089.2,No issues
2023-01-29,Influencer,retarget_q4,78502,1902,NGN,439204.13,No issues
2023-01-29,Meta Ads,blackfriday24,80779,2359,NGN,407320.6,No issues
2023-01-29,YouTube Pre-roll,retarget_q4,19060,217,NGN,58871.34,No issues
2023-01-30,Email / CRM,lagos_nights_launch,35672,232,NGN,40155.97,No issues
2023-01-30,Influencer,retarget_q4,53455,441,NGN,154553.47,No issues
2023-01-30,Meta Ads,always_on,55790,1648,NGN,622843.3,No issues
2023-01-30,YouTube Pre-roll,harmattan_drop,29902,1021,NGN,248406.63,No issues
2023-01-31,Email / CRM,showreel_push,60639,1922,NGN,654102.78,No issues
2023-01-31,Influencer,harmattan_drop,44484,256,NGN,55578.38,No issues
2023-01-31,Meta Ads,black_friday,67524,1333,NGN,371540.51,No issues
2023-01-31,YouTube Pre-roll,brand_always_on,22658,171,NGN,47993.67,No issues
2023-02-01,Google Ads,harmattan_drop,50476,1276,NGN,114151.64,No issues
2023-02-01,Influencer,wedding_season_23,67552,2352,NGN,771910.44,No issues
2023-02-01,Meta Ads,lagos_nights_launch,27217,568,NGN,139590.91,No issues
2023-02-01,TikTok Ads,showreel_push,63030,1835,NGN,136261.97,No issues
2023-02-01,YouTube Pre-roll,wedding_season_23,3967,124,NGN,40776.63,No issues
2023-02-02,Email / CRM,retarget_q4,29599,663,NGN,55062.6,No issues
2023-02-02,Google Ads,harmattan_drop,51537,1433,NGN,103259.29,No issues
