sku,product_name,category,collection,colour,size_run,unit_cost_ngn,list_price_ngn,valid_from,valid_to,is_current,active,dq_flags
XT-CAP-007,Lagos Nights Cap,Cap,Lagos Nights,Black,S-XXL,5200.0,13100.0,2022-12-20,2023-09-08,False,False,open_window_closed_by_next_version
XT-CAP-007,Lagos Nights Cap,Cap,Lagos Nights,Black,One Size,5200.0,17000.0,2023-09-09,9999-12-31,True,True,stated_valid_to_2024-10-30_extended
XT-CAP-016,35mm Club Cap,Cap,35mm Club,Bone,S-XXL,7100.0,14800.0,2022-11-27,2023-09-05,False,False,unit_cost_ngn_filled_from_same_sku
XT-CAP-016,35mm Club Cap,Cap,35mm Club,Bone,One Size,7100.0,15800.0,2023-09-06,2024-07-29,False,False,No issues
XT-CAP-016,35mm Club Cap,Cap,35mm Club,Bone,Unknown,7100.0,19800.0,2024-07-30,2025-05-23,False,False,open_window_closed_by_next_version
XT-CAP-016,35mm Club Cap,Cap,35mm Club,Bone,S-XXL,7100.0,21600.0,2025-05-24,9999-12-31,True,True,stated_valid_to_2025-12-09_extended
XT-CAP-031,Studio Basics Cap,Cap,Studio Basics,Off-White,One Size,5600.0,13800.0,2022-11-10,2023-07-08,False,False,open_window_closed_by_next_version
XT-CAP-031,Studio Basics Cap,Cap,Studio Basics,Off-White,Unknown,5600.0,16700.0,2023-07-09,2024-07-16,False,False,open_window_closed_by_next_version
XT-CAP-031,Studio Basics Cap,Cap,Studio Basics,Off-White,S-XXL,5600.0,21300.0,2024-07-17,9999-12-31,True,True,stated_valid_to_2025-01-03_extended
XT-CAP-043,Behind The Lens Cap,Cap,Behind The Lens,Bone,One Size,5800.0,13500.0,2022-10-25,2023-06-09,False,False,"collection_filled_from_same_sku,open_window_closed_by_next_version"
XT-CAP-043,Behind The Lens Cap,Cap,Behind The Lens,Bone,One Size,5800.0,16400.0,2023-06-10,2023-11-26,False,False,gap_to_next_version_bridged
XT-CAP-043,Behind The Lens Cap,Cap,Behind The Lens,Bone,One Size,5800.0,18300.0,2023-11-27,2024-06-18,False,False,No issues
XT-CAP-043,Behind The Lens Cap,Cap,Behind The Lens,Bone,S-XXL,5800.0,22700.0,2024-06-19,9999-12-31,True,True,No issues
XT-HOO-005,Harmattan Drop Hoodie,Hoodie,Harmattan Drop,Black,S-XXL,25100.0,49000.0,2022-11-06,2023-10-16,False,False,No issues
XT-HOO-005,Harmattan Drop Hoodie,Hoodie,Harmattan Drop,Black,Unknown,25100.0,61600.0,2023-10-17,2024-05-14,False,False,unit_cost_ngn_filled_from_same_sku
XT-HOO-005,Harmattan Drop Hoodie,Hoodie,Harmattan Drop,Black,S-XXL,25100.0,68500.0,2024-05-15,9999-12-31,True,True,stated_valid_to_2025-04-05_extended
XT-HOO-009,Lagos Nights Hoodie,Hoodie,Lagos Nights,Forest,S-XXL,23200.0,44600.0,2022-10-24,2023-05-28,False,False,unit_cost_ngn_filled_from_same_sku
XT-HOO-009,Lagos Nights Hoodie,Hoodie,Lagos Nights,Forest,S-XXL,23200.0,55000.0,2023-05-29,2024-05-07,False,False,No issues
XT-HOO-009,Lagos Nights Hoodie,Hoodie,Lagos Nights,Forest,S-XXL,23200.0,64700.0,2024-05-08,2025-01-28,False,False,"collection_filled_from_same_sku,overlap_trimmed"
XT-HOO-009,Lagos Nights Hoodie,Hoodie,Lagos Nights,Forest,Unknown,23200.0,78200.0,2025-01-29,9999-12-31,True,True,"collection_filled_from_same_sku,stated_valid_to_2026-01-17_extended"
XT-HOO-014,35mm Club Hoodie,Hoodie,35mm Club,Black,One Size,16500.0,51200.0,2022-09-19,2023-02-03,False,False,overlap_trimmed
XT-HOO-014,35mm Club Hoodie,Hoodie,35mm Club,Black,S-XXL,16500.0,55300.0,2023-02-04,2024-03-14,False,False,colour_filled_from_same_sku
XT-HOO-014,35mm Club Hoodie,Hoodie,35mm Club,Black,One Size,16500.0,72700.0,2024-03-15,2024-07-22,False,False,"unit_cost_ngn_filled_from_same_sku,overlap_trimmed"
XT-HOO-014,35mm Club Hoodie,Hoodie,35mm Club,Black,S-XXL,16500.0,77900.0,2024-07-23,9999-12-31,True,True,"unit_cost_ngn_filled_from_same_sku,stated_valid_to_2025-02-05_extended"
XT-HOO-025,Golden Hour Hoodie,Hoodie,Golden Hour,Bone,Unknown,17000.0,43000.0,2022-11-15,2023-09-09,False,False,No issues
XT-HOO-025,Golden Hour Hoodie,Hoodie,Golden Hour,Bone,One Size,17000.0,57000.0,2023-09-10,2024-04-14,False,False,unit_cost_ngn_filled_from_same_sku
XT-HOO-025,Golden Hour Hoodie,Hoodie,Golden Hour,Bone,S-XXL,17000.0,64900.0,2024-04-15,2024-10-08,False,False,No issues
XT-HOO-025,Golden Hour Hoodie,Hoodie,Golden Hour,Bone,S-XXL,17000.0,69900.0,2024-10-09,9999-12-31,True,True,stated_valid_to_2025-10-09_extended
XT-HOO-029,Studio Basics Hoodie,Hoodie,Studio Basics,Black,Unknown,21500.0,46800.0,2022-09-10,2023-04-16,False,False,overlap_trimmed
XT-HOO-029,Studio Basics Hoodie,Hoodie,Studio Basics,Black,S-XXL,21500.0,49600.0,2023-04-17,2023-10-16,False,False,collection_filled_from_same_sku
XT-HOO-029,Studio Basics Hoodie,Hoodie,Studio Basics,Black,Unknown,21500.0,59200.0,2023-10-17,2024-09-30,False,False,No issues
XT-HOO-029,Studio Basics Hoodie,Hoodie,Studio Basics,Black,One Size,21500.0,71000.0,2024-10-01,9999-12-31,True,True,"unit_cost_ngn_filled_from_same_sku,stated_valid_to_2025-02-19_extended"
XT-HOO-037,Anniversary ’05 Hoodie,Hoodie,Anniversary ’05,Sand,S-XXL,12400.0,34200.0,2022-09-14,2023-01-06,False,False,overlap_trimmed
XT-HOO-037,Anniversary ’05 Hoodie,Hoodie,Anniversary ’05,Sand,One Size,12400.0,38500.0,2023-01-07,2023-06-24,False,False,colour_filled_from_same_sku
XT-HOO-037,Anniversary ’05 Hoodie,Hoodie,Anniversary ’05,Sand,S-XXL,12400.0,51300.0,2023-06-25,9999-12-31,True,True,stated_valid_to_2024-05-01_extended
XT-LEN-001,Harmattan Drop Lens Cloth,Lens Cloth,Harmattan Drop,Black,S-XXL,2400.0,4600.0,2022-11-10,2023-11-18,False,False,No issues
XT-LEN-001,Harmattan Drop Lens Cloth,Lens Cloth,Harmattan Drop,Black,S-XXL,2400.0,6200.0,2023-11-19,2024-04-17,False,False,No issues
XT-LEN-001,Harmattan Drop Lens Cloth,Lens Cloth,Harmattan Drop,Black,One Size,2400.0,6600.0,2024-04-18,2024-10-08,False,False,No issues
XT-LEN-001,Harmattan Drop Lens Cloth,Lens Cloth,Harmattan Drop,Black,S-XXL,2400.0,7000.0,2024-10-09,9999-12-31,True,True,"unit_cost_ngn_filled_from_same_sku,stated_valid_to_2025-10-16_extended"
XT-LEN-019,35mm Club Lens Cloth,Lens Cloth,35mm Club,Rust,One Size,1800.0,4200.0,2022-12-13,2023-09-05,False,False,No issues
XT-LEN-019,35mm Club Lens Cloth,Lens Cloth,35mm Club,Rust,One Size,1800.0,4600.0,2023-09-06,2024-03-11,False,False,colour_filled_from_same_sku
XT-LEN-019,35mm Club Lens Cloth,Lens Cloth,35mm Club,Rust,S-XXL,1800.0,6000.0,2024-03-12,2024-07-22,False,False,No issues
XT-LEN-019,35mm Club Lens Cloth,Lens Cloth,35mm Club,Rust,Unknown,1800.0,7700.0,2024-07-23,9999-12-31,True,True,"colour_filled_from_same_sku,stated_valid_to_2025-06-22_extended"
XT-LEN-024,Golden Hour Lens Cloth,Lens Cloth,Golden Hour,Forest,S-XXL,1700.0,3800.0,2022-12-20,2023-10-27,False,False,No issues
XT-LEN-024,Golden Hour Lens Cloth,Lens Cloth,Golden Hour,Forest,S-XXL,1700.0,4200.0,2023-10-28,2024-09-09,False,False,open_window_closed_by_next_version
XT-LEN-024,Golden Hour Lens Cloth,Lens Cloth,Golden Hour,Forest,One Size,1700.0,4600.0,2024-09-10,2025-03-13,False,False,window_inverted_swapped
XT-LEN-024,Golden Hour Lens Cloth,Lens Cloth,Golden Hour,Forest,S-XXL,1700.0,5000.0,2025-03-14,9999-12-31,True,True,stated_valid_to_2025-12-28_extended
XT-LEN-028,Studio Basics Lens Cloth,Lens Cloth,Studio Basics,Bone,Unknown,2200.0,4800.0,2022-09-04,2023-06-22,False,False,"collection_filled_from_same_sku,colour_filled_from_same_sku"
XT-LEN-028,Studio Basics Lens Cloth,Lens Cloth,Studio Basics,Bone,S-XXL,2200.0,5600.0,2023-06-23,2024-02-25,False,False,open_window_closed_by_next_version
XT-LEN-028,Studio Basics Lens Cloth,Lens Cloth,Studio Basics,Bone,One Size,2200.0,6300.0,2024-02-26,2024-10-08,False,False,No issues
XT-LEN-028,Studio Basics Lens Cloth,Lens Cloth,Studio Basics,Bone,Unknown,2200.0,7400.0,2024-10-09,9999-12-31,True,True,stated_valid_to_2025-02-18_extended
XT-LEN-034,Anniversary ’05 Lens Cloth,Lens Cloth,Anniversary ’05,Forest,S-XXL,1300.0,3800.0,2022-10-03,2023-07-15,False,False,collection_filled_from_same_sku
XT-LEN-034,Anniversary ’05 Lens Cloth,Lens Cloth,Anniversary ’05,Forest,S-XXL,1300.0,4700.0,2023-07-16,2024-08-23,False,False,No issues
