refund_id,refund_key,order_id,refund_date,refund_date_if_day_first,refund_date_if_month_first,refund_amount_ngn,reason,processed_by,dq_flags
RF-10003,RF-10003,ORD516613,2024-08-13,Not applicable,Not applicable,8300.0,Wrong size,Ops,No issues
RF-10004,RF-10004,ORD506132,2023-10-08,Not applicable,Not applicable,218000.0,Not as pictured,Auto,amount_written_as_negative
RF-10010,RF-10010,ORD512652,2024-04-17,Not applicable,Not applicable,48000.0,Wrong size,Unknown,No issues
RF-10017,RF-10017,ORD528735,2025-08-02,Not applicable,Not applicable,35850.0,Not as pictured,Support,"refund_date_format_resolved_by_refund_window,amount_written_as_negative"
RF-10026,RF-10026,ORD523643,2025-03-09,Not applicable,Not applicable,10400.0,Wrong size,Unknown,No issues
RF-10034,RF-10034,ORD506769,2023-10-12,Not applicable,Not applicable,4600.0,Wrong size,Support,amount_written_as_negative
RF-10040,RF-10040,ORD507191,2023-10-26,Not applicable,Not applicable,19400.0,Wrong size,Ops,No issues
RF-10046,RF-10046,ORD528729,2025-06-24,Not applicable,Not applicable,28000.0,Wrong size,Ops,amount_written_as_negative
RF-10067,RF-10067,ORD514528,2024-06-26,Not applicable,Not applicable,24800.0,Wrong size,Support,amount_written_as_negative
RF-10072,RF-10072,ORD527304,2025-06-25,Not applicable,Not applicable,7200.0,Unknown,Auto,No issues
RF-10077,RF-10077,ORD525739,2025-05-08,Not applicable,Not applicable,15600.0,Damaged,Support,"refund_date_format_resolved_by_refund_window,amount_written_as_negative"
RF-10096,RF-10096,ORD510931,2024-02-22,Not applicable,Not applicable,23700.0,Damaged,Unknown,amount_written_as_negative
RF-10097,RF-10097,ORD501986,2023-04-13,Not applicable,Not applicable,12000.0,Damaged,Support,amount_written_as_negative
RF-10111,RF-10111,ORD504147,2023-06-23,Not applicable,Not applicable,2000.0,Duplicate order,Ops,No issues
RF-10117,RF-10117,ORD519876,2024-12-04,Not applicable,Not applicable,9700.0,Wrong size,Support,amount_written_as_negative
RF-10127,RF-10127,ORD506127,2023-10-16,Not applicable,Not applicable,16600.0,Damaged,Unknown,amount_written_as_negative
RF-10155,RF-10155,ORD500782,2023-02-05,Not applicable,Not applicable,18100.0,Wrong size,Support,amount_written_as_negative
RF-10156,RF-10156,ORD515845,2024-07-22,Not applicable,Not applicable,23800.0,Changed mind,Ops,No issues
RF-10176,RF-10176,ORD510036,2024-01-03,Not applicable,Not applicable,8400.0,Damaged,Support,amount_written_as_negative
RF-10192,RF-10192-1,ORD525979,2025-05-17,Not applicable,Not applicable,7100.0,Changed mind,Ops,refund_id_shared_with_other_refunds
RF-10192,RF-10192-2,ORD520780,2025-01-03,Not applicable,Not applicable,0.0,Damaged,Ops,refund_id_shared_with_other_refunds
RF-10193,RF-10193,ORD508172,2023-12-09,Not applicable,Not applicable,8200.0,Changed mind,Unknown,"refund_date_format_resolved_by_refund_window,amount_written_as_negative"
RF-10194,RF-10194,ORD516225,2024-08-13,Not applicable,Not applicable,5300.0,Damaged,Ops,amount_written_as_negative
RF-10209,RF-10209,ORD520494,2025-01-02,Not applicable,Not applicable,17100.0,Duplicate order,Ops,refund_date_format_resolved_by_refund_window
RF-10218,RF-10218,ORD501109,2023-03-07,Not applicable,Not applicable,2200.0,Changed mind,Auto,"refund_date_format_resolved_by_refund_window,amount_written_as_negative"
RF-10221,RF-10221,ORD517681,2024-09-11,Not applicable,Not applicable,145200.0,Changed mind,Support,No issues
RF-10222,RF-10222,ORD503790,2023-07-22,Not applicable,Not applicable,14100.0,Wrong size,Auto,amount_written_as_negative
RF-10233,RF-10233,ORD519833,2024-12-12,Not applicable,Not applicable,30600.0,Damaged,Support,amount_written_as_negative
RF-10245,RF-10245,ORD503578,2023-06-23,Not applicable,Not applicable,4100.0,Wrong size,Unknown,No issues
RF-10253,RF-10253,ORD518599,2024-10-22,Not applicable,Not applicable,4900.0,Not as pictured,Auto,amount_written_as_negative
RF-10266,RF-10266,ORD511775,2024-04-07,Not applicable,Not applicable,5500.0,Not as pictured,Support,amount_written_as_negative
RF-10297,RF-10297,ORD502492,2023-05-06,Not applicable,Not applicable,8100.0,Wrong size,Ops,No issues
RF-10298,RF-10298,ORD515978,2024-07-25,Not applicable,Not applicable,34200.0,Duplicate order,Auto,No issues
RF-10320,RF-10320,ORD525464,2025-05-04,Not applicable,Not applicable,33300.0,Not as pictured,Support,amount_written_as_negative
