session_id,session_start_utc,session_date_lagos,visitor_id,source,channel,medium,campaign,gclid,device,country,landing_page,page_views,duration_seconds,user_agent,is_new_visitor,converted,transaction_id,revenue_ngn,is_bot,is_spam
S000000001,2023-01-01T22:34:09Z,2023-01-01,u052233,meta,Facebook / Meta,organic,wedding_season_24,Not applicable,Desktop,Canada,/rates,2,34,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15,False,False,Not applicable,0.0,False,False
S000000002,2023-01-01T17:26:56Z,2023-01-01,u021137,ig,Instagram,paid,retarget_q4,Not applicable,Mobile,Nigeria,/shop/harmattan-drop,4,81,Mozilla/5.0 (Linux; Android 13; SM-A536E) AppleWebKit/537.36 Chrome/120,True,False,Not applicable,0.0,False,False
S000000003,2023-01-01T17:22:55Z,2023-01-01,u040199,(direct),Direct,paid,brand_always_on,Not applicable,Mobile,Nigeria,/portfolio,3,242,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1.15,True,False,Not applicable,0.0,False,False
S000000004,2023-01-01T19:36:40Z,2023-01-01,u085834,google.com,Google,organic,Not applicable,Not applicable,Mobile,Nigeria,/shop,4,186,Mozilla/5.0 (Linux; Android 13; SM-A536E) AppleWebKit/537.36 Chrome/120,False,False,Not applicable,0.0,False,False
S000000005,2023-01-01T17:35:38Z,2023-01-01,u068012,facebook,Facebook / Meta,referral,harmattan_drop,Not applicable,Mobile,Nigeria,/blog/5-tips-for-your-wedding-film,1,0,Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15,True,False,Not applicable,0.0,False,False
S000000006,2023-01-01T08:48:26Z,2023-01-01,u064646,fb,Facebook / Meta,paid,lagos_nights_launch,Not applicable,Desktop,Nigeria,/shop/harmattan-drop,4,157,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/121.0.0.0 Safari/537.36,True,False,Not applicable,0.0,False,False
S000000007,2023-01-01T21:52:05Z,2023-01-01,u053755,direct,Direct,organic,harmattan_drop,Not applicable,Desktop,Nigeria,/booking,1,0,Mozilla/5.0 (Linux; Android 13; SM-A536E) AppleWebKit/537.36 Chrome/120,True,False,Not applicable,0.0,False,False
S000000008,2023-01-01T18:31:16Z,2023-01-01,u052187,instagram,Instagram,paid,harmattan_drop,Not applicable,Mobile,United Kingdom,/,1,0,Mozilla/5.0 (Linux; Android 13; SM-A536E) AppleWebKit/537.36 Chrome/120,True,False,Not applicable,0.0,False,False
S000000009,2023-01-01T14:52:13Z,2023-01-01,u030123,(direct),Direct,referral,retarget_q4,Not applicable,Mobile,Nigeria,/about,6,375,Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15,False,False,Not applicable,0.0,False,False
S000000010,2023-01-01T22:18:11Z,2023-01-01,u013441,youtube,YouTube,social,harmattan_drop,Not applicable,Desktop,Kenya,/weddings,1,53,Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15,True,False,Not applicable,0.0,False,False
