file,column,rows,nulls,null_rate_pct,null_spellings,distinct_non_null,inferred_type,parses_as_type_pct,value_shapes,examples
clients_export.csv,client_id,2082,0,0.0,,2061,text,100.0,3,XT-01787 | XT-00025 | 1749 | XT01076
clients_export.csv,client_name,2082,0,0.0,,1346,text,100.0,39,Novo NGO |   Novo Media | delta rise foods | Delta Rise Telecom
clients_export.csv,type,2082,143,6.87,'-' x16; 'NULL' x14; '--' x13; 'unknown' x10; 'N/A' x10; '' x10; 'UNKNOWN' x9; 'tbd' x9; 'NA' x9; ' ' x9; 'null' x9; 'None' x9; 'n/a' x8; '#N/A' x8,9,text,100.0,2,Corporate | CORP | corporate | B2B
clients_export.csv,email,2082,182,8.74,'None' x18; '' x17; 'N/A' x16; 'NULL' x16; '-' x15; 'null' x14; 'n/a' x14; 'UNKNOWN' x12; 'unknown' x12; '#N/A' x12; 'tbd' x10; 'NA' x9; '--' x9; ' ' x8,1575,text,100.0,6,novo.ngo@company.ng | novo.media@outlook.com | delta.rise.foods@gmail.com | delta.rise.telecom@outlook.com
clients_export.csv,phone,2082,262,12.58,'-' x23; 'NULL' x23; 'UNKNOWN' x23; 'unknown' x21; 'N/A' x21; 'tbd' x21; 'NA' x19; ' ' x18; '#N/A' x17; 'null' x17; '--' x17; '' x16; 'n/a' x15; 'None' x11,1820,text,100.0,6,+234 806909416 | 08092129171 | 08077298936 | +234 803361175
clients_export.csv,city,2082,126,6.05,'n/a' x12; 'NULL' x10; 'NA' x10; 'unknown' x10; 'tbd' x9; 'None' x9; 'UNKNOWN' x9; '' x9; '-' x9; 'N/A' x9; '--' x9; '#N/A' x8; ' ' x7; 'null' x6,296,text,100.0,6,Lag | lag | PORTHARCOURT | Abuja
clients_export.csv,country,2082,108,5.19,'--' x14; 'tbd' x11; 'None' x9; 'unknown' x9; '#N/A' x9; '-' x8; '' x8; 'N/A' x7; ' ' x7; 'n/a' x6; 'UNKNOWN' x6; 'NULL' x5; 'NA' x5; 'null' x4,10,text,100.0,2,Nigeria | NG | United Kingdom | UAE
clients_export.csv,billing_currency,2082,225,10.81,'-' x20; 'unknown' x19; 'null' x19; '' x19; '--' x18; ' ' x17; 'N/A' x17; '#N/A' x16; 'tbd' x16; 'NULL' x15; 'None' x14; 'n/a' x13; 'NA' x11; 'UNKNOWN' x11,3,text,100.0,1,NGN | USD | GBP
clients_export.csv,signup_date,2082,90,4.32,'' x10; 'n/a' x9; 'UNKNOWN' x9; 'None' x9; '-' x8; 'null' x8; 'NA' x7; '#N/A' x6; 'tbd' x5; 'N/A' x5; 'unknown' x5; ' ' x4; '--' x3; 'NULL' x2,1453,date,93.0,4,27-Dec-2023 | 2022-10-01 | 20/12/2021 | 26/07/2021
clients_export.csv,acquisition_channel,2082,310,14.89,'None' x31; 'null' x26; '' x25; 'tbd' x25; '--' x25; 'unknown' x24; 'N/A' x24; ' ' x22; 'NA' x21; 'n/a' x21; 'NULL' x20; '-' x18; '#N/A' x15; 'UNKNOWN' x13,139,text,100.0,4,Agency Partner | Email | TikTok |    Google   
clients_export.csv,notes,2082,776,37.27,'' x776,7,text,100.0,6,"invoice to accounts dept | VIP - handle w/ care | Discount agreed, see email | prefers whatsapp"
bookings_2023.csv,booking_id,977,0,0.0,,958,text,100.0,3,BK-01030 | BK-01264 | BK01708 | BK-01297
bookings_2023.csv,client_id,977,0,0.0,,853,text,100.0,3,xt250 | xt-01810 | XT-01368 | 1734
bookings_2023.csv,service_type,977,55,5.63,'N/A' x8; 'None' x7; 'null' x6; 'UNKNOWN' x6; 'tbd' x5; '' x4; 'NA' x4; '#N/A' x3; '--' x3; '-' x3; 'n/a' x2; ' ' x2; 'NULL' x1; 'unknown' x1,201,text,100.0,12, Commercial  | Short Film | Short-Film | Corporate Documentary
bookings_2023.csv,shoot_date,977,0,0.0,,379,date,100.0,2,04/02/2023 | 24-May-2023 | 29/10/2023 | 09/06/2023
bookings_2023.csv,shoot_days,977,47,4.81,' ' x6; 'null' x5; '#N/A' x5; 'UNKNOWN' x5; '-' x4; '--' x4; 'unknown' x4; '' x3; 'N/A' x3; 'tbd' x2; 'NULL' x2; 'None' x2; 'NA' x1; 'n/a' x1,10,decimal,100.0,2,1 | 3 | 1.0 | 2.0
bookings_2023.csv,location_city,977,80,8.19,'None' x10; 'unknown' x9; '#N/A' x9; 'NA' x8; 'UNKNOWN' x7; 'NULL' x6; 'n/a' x6; '-' x5; 'null' x5; ' ' x4; 'tbd' x4; 'N/A' x3; '' x3; '--' x1,182,text,100.0,6,"Accra   | Johannesburg | Lag | Ikeja, Lagos"
bookings_2023.csv,gross_amount,977,0,0.0,,950,money,100.0,28,"6.83M | 8,878,000.00 | 12,897,000 | 9,323,000"
bookings_2023.csv,discount_pct,977,257,26.31,'' x257,12,text,100.0,3,0 | 0.00 | 0% | 10
bookings_2023.csv,currency,977,103,10.54,'unknown' x14; '#N/A' x11; 'tbd' x10; 'NA' x9; 'None' x9; 'n/a' x8; 'NULL' x8; 'null' x7; '--' x7; ' ' x6; '' x5; 'N/A' x4; '-' x3; 'UNKNOWN' x2,3,text,100.0,1,NGN | GBP | USD
bookings_2023.csv,status,977,28,2.87,'#N/A' x3; 'n/a' x3; ' ' x3; 'tbd' x3; 'N/A' x2; 'unknown' x2; 'null' x2; '-' x2; 'UNKNOWN' x2; 'NA' x2; 'NULL' x1; 'None' x1; '' x1; '--' x1,27,text,100.0,3,Complete | delivered | COMPLETE | Done
bookings_2023.csv,lead_source,977,155,15.86,'tbd' x15; 'None' x14; 'unknown' x14; 'null' x14; ' ' x13; '#N/A' x13; 'n/a' x12; 'N/A' x11; '' x11; 'NA' x10; 'UNKNOWN' x9; 'NULL' x9; '-' x6; '--' x4,105,text,100.0,4,Repeat Client | Agency Partner | tiktok | WALK-IN
bookings_2023.csv,notes,977,373,38.18,'' x373,8,text,100.0,7,drone denied by airport authority | client rescheduled once | location permit paid by client | RAW files delivered on 2 x 1TB SSD
bookings_2024.csv,booking_ref,955,0,0.0,,937,text,100.0,3,2112 | BK-02483 | BK-02401 | BK-02040
bookings_2024.csv,customer_id,955,0,0.0,,852,text,100.0,3,XT-00434 |  XT-00894  | XT00112 | XT-00010
bookings_2024.csv,service_type,955,52,5.45,'-' x6; 'NA' x6; 'null' x5; '#N/A' x5; 'n/a' x4; 'NULL' x4; '' x4; 'UNKNOWN' x4; ' ' x3; 'N/A' x3; 'tbd' x3; 'unknown' x3; 'None' x2,203,text,100.0,11,photo-shoot | Commercial / TVC | CORPORATE DOCUMENTARY |   commercial - tvc 
bookings_2024.csv,date_of_shoot,955,0,0.0,,394,date,100.0,2,04/11/2024 | 09/03/2024 | 08/04/2024 | 03/09/2024
bookings_2024.csv,shoot_days,955,39,4.08,' ' x6; 'N/A' x5; '-' x5; 'NA' x4; 'null' x4; '#N/A' x3; 'tbd' x3; 'n/a' x2; 'NULL' x2; '' x2; 'UNKNOWN' x2; '--' x1,10,decimal,100.0,2,1 | 1.0 | 2 | 4
bookings_2024.csv,location_city,955,70,7.33,'tbd' x8; 'NULL' x7; '' x6; 'None' x6; 'n/a' x5; '#N/A' x5; 'null' x5; '--' x5; 'unknown' x5; 'UNKNOWN' x5; 'NA' x5; ' ' x4; 'N/A' x4,168,text,100.0,6,Lag | Lagos | london | Enugu
bookings_2024.csv,amount_gross,955,0,0.0,,928,money,100.0,27,"2.11M | ₦43,292,000.00 | 8,100 | 40930000.00"
bookings_2024.csv,discount_pct,955,224,23.46,'' x224,12,text,100.0,3,0.00 | 0 | 0.15 | 0%
bookings_2024.csv,currency,955,119,12.46,'UNKNOWN' x11; 'null' x11; ' ' x11; 'NA' x10; 'N/A' x10; '--' x9; '#N/A' x9; '-' x8; 'NULL' x8; 'None' x8; '' x8; 'unknown' x7; 'n/a' x5; 'tbd' x4,3,text,100.0,1,NGN | GBP | USD
