iso_year,iso_week,week_start,crew_days_booked,active_crew,utilisation,above_85pct,double_booked_crew_days,binding_role,binding_role_utilisation
2023,1,2023-01-02,63,37,0.243,False,3,Editor,0.464
2024,52,2024-12-23,198,140,0.202,False,24,Sound Recordist,0.262
2023,23,2023-06-05,193,140,0.197,False,23,Editor,0.313
2024,44,2024-10-28,193,140,0.197,False,18,Production Assistant,0.273
2023,47,2023-11-20,190,140,0.194,False,21,Gaffer,0.265
2023,14,2023-04-03,186,139,0.191,False,11,Camera Operator,0.286
2024,50,2024-12-09,186,140,0.19,False,13,Gaffer,0.306
2024,47,2024-11-18,185,140,0.189,False,18,Grip,0.297
2023,49,2023-12-04,184,140,0.188,False,16,Grip,0.319
2023,50,2023-12-11,182,140,0.186,False,21,Art Director,0.238
2024,28,2024-07-08,177,140,0.181,False,12,Editor,0.268
2024,21,2024-05-20,175,140,0.179,False,18,Production Assistant,0.299
2024,32,2024-08-05,175,140,0.179,False,8,Production Assistant,0.234
2023,44,2023-10-30,174,140,0.178,False,14,Sound Recordist,0.262
2024,33,2024-08-12,173,140,0.177,False,9,Sound Recordist,0.238
2024,41,2024-10-07,170,140,0.173,False,8,Art Director,0.324
2023,31,2023-07-31,165,140,0.168,False,13,Colorist,0.248
2023,45,2023-11-06,163,140,0.166,False,16,Production Assistant,0.234
2024,49,2024-12-02,163,140,0.166,False,12,Editor,0.214
2023,41,2023-10-09,162,140,0.165,False,10,Gaffer,0.224
2023,52,2023-12-25,161,140,0.164,False,12,Colorist,0.248
2024,45,2024-11-04,160,140,0.163,False,5,Camera Operator,0.274
2023,48,2023-11-27,159,140,0.162,False,11,Production Assistant,0.247
2023,51,2023-12-18,159,140,0.162,False,14,Art Director,0.229
2023,33,2023-08-14,157,140,0.16,False,10,Sound Recordist,0.238
2023,30,2023-07-24,154,140,0.157,False,12,Production Assistant,0.234
2023,40,2023-10-02,154,140,0.157,False,9,Gaffer,0.235
2023,16,2023-04-17,150,139,0.154,False,8,Sound Recordist,0.226
2023,25,2023-06-19,148,140,0.151,False,8,Sound Recordist,0.226
2024,38,2024-09-16,148,140,0.151,False,7,Colorist,0.2
2024,30,2024-07-22,146,140,0.149,False,19,Art Director,0.238
2024,46,2024-11-11,146,140,0.149,False,17,Grip,0.187
2023,32,2023-08-07,143,140,0.146,False,14,Production Assistant,0.234
2025,18,2025-04-28,142,139,0.146,False,6,Director of Photography,0.211
2024,31,2024-07-29,139,140,0.142,False,21,Grip,0.231
2023,29,2023-07-17,135,140,0.138,False,12,Production Assistant,0.195
2025,26,2025-06-23,66,69,0.137,False,1,Gaffer,0.2
2024,14,2024-04-01,133,140,0.136,False,4,Camera Operator,0.238
2023,46,2023-11-13,129,140,0.132,False,7,Drone Operator,0.286
2024,42,2024-10-14,128,140,0.131,False,11,Grip,0.231
2024,13,2024-03-25,127,140,0.13,False,7,Colorist,0.229
2024,51,2024-12-16,125,140,0.128,False,4,Director of Photography,0.188
2023,24,2023-06-12,120,140,0.122,False,8,Drone Operator,0.165
2024,34,2024-08-19,120,140,0.122,False,4,Production Assistant,0.195
2025,25,2025-06-16,87,102,0.122,False,4,Director of Photography,0.176
2023,15,2023-04-10,117,139,0.12,False,2,Colorist,0.171
2024,15,2024-04-08,116,140,0.118,False,9,Production Assistant,0.195
2025,23,2025-06-02,107,131,0.117,False,3,Art Director,0.173
2023,27,2023-07-03,114,140,0.116,False,7,Colorist,0.181
2024,35,2024-08-26,114,140,0.116,False,7,Sound Recordist,0.179
2024,26,2024-06-24,113,140,0.115,False,8,Art Director,0.229
2025,14,2025-03-31,113,140,0.115,False,1,Grip,0.154
2023,35,2023-08-28,112,140,0.114,False,10,Camera Operator,0.155
2023,43,2023-10-23,111,140,0.113,False,10,Director of Photography,0.135
2025,20,2025-05-12,109,138,0.113,False,5,Colorist,0.204
2023,17,2023-04-24,110,140,0.112,False,7,Production Assistant,0.156
2023,28,2023-07-10,110,140,0.112,False,7,Sound Recordist,0.179
2024,22,2024-05-27,110,140,0.112,False,7,Grip,0.209
2025,1,2024-12-30,110,140,0.112,False,3,Grip,0.165
2023,9,2023-02-27,98,127,0.11,False,2,Production Assistant,0.243
2025,7,2025-02-10,108,140,0.11,False,10,Editor,0.223
2023,39,2023-09-25,107,140,0.109,False,2,Sound Recordist,0.226
2024,25,2024-06-17,106,140,0.108,False,5,Art Director,0.152
2024,27,2024-07-01,106,140,0.108,False,6,Editor,0.152
2024,10,2024-03-04,105,140,0.107,False,8,Production Assistant,0.182
2023,42,2023-10-16,104,140,0.106,False,9,Art Director,0.152
2024,20,2024-05-13,102,140,0.104,False,7,Gaffer,0.173
2024,48,2024-11-25,102,140,0.104,False,4,Director of Photography,0.135
2025,15,2025-04-07,102,140,0.104,False,6,Colorist,0.162
2023,18,2023-05-01,101,140,0.103,False,2,Gaffer,0.153
2024,36,2024-09-02,100,140,0.102,False,6,Grip,0.198
2025,16,2025-04-14,99,140,0.101,False,4,Production Assistant,0.169
2024,37,2024-09-09,98,140,0.1,False,4,Grip,0.242
2025,11,2025-03-10,98,140,0.1,False,7,Sound Recordist,0.143
2023,21,2023-05-22,95,140,0.097,False,6,Editor,0.134
2024,40,2024-09-30,95,140,0.097,False,4,Production Assistant,0.169
2025,13,2025-03-24,95,140,0.097,False,2,Grip,0.154
2023,20,2023-05-15,93,140,0.095,False,3,Editor,0.125
2023,5,2023-01-30,63,96,0.094,False,1,Sound Recordist,0.111
2023,36,2023-09-04,92,140,0.094,False,2,Editor,0.116
2025,24,2025-06-09,77,117,0.094,False,5,Grip,0.171
2023,12,2023-03-20,87,136,0.091,False,12,Production Assistant,0.156
2023,37,2023-09-11,89,140,0.091,False,3,Art Director,0.143
2024,16,2024-04-15,89,140,0.091,False,2,Art Director,0.162
2025,6,2025-02-03,89,140,0.091,False,5,Grip,0.187
2025,17,2025-04-21,89,139,0.091,False,4,Production Assistant,0.156
2023,6,2023-02-06,68,108,0.09,False,2,Editor,0.143
2024,18,2024-04-29,88,140,0.09,False,3,Editor,0.125
2024,24,2024-06-10,88,140,0.09,False,3,Art Director,0.114
2023,26,2023-06-26,87,140,0.089,False,7,Art Director,0.133
2024,17,2024-04-22,86,140,0.088,False,6,Director of Photography,0.12
2025,21,2025-05-19,84,137,0.088,False,1,Production Assistant,0.143
2023,34,2023-08-21,85,140,0.087,False,3,Art Director,0.124
2023,38,2023-09-18,85,140,0.087,False,2,Production Assistant,0.13
2024,12,2024-03-18,85,140,0.087,False,3,Director of Photography,0.128
2024,43,2024-10-21,84,140,0.086,False,4,Gaffer,0.173
2025,10,2025-03-03,82,140,0.084,False,4,Editor,0.143
2024,29,2024-07-15,81,140,0.083,False,2,Editor,0.143
2023,2,2023-01-09,29,51,0.081,False,1,Camera Operator,0.143
2023,22,2023-05-29,78,140,0.08,False,6,Editor,0.116
2024,7,2024-02-12,78,140,0.08,False,1,Editor,0.161
2025,12,2025-03-17,76,140,0.078,False,5,Art Director,0.133
2023,13,2023-03-27,73,138,0.076,False,7,Sound Recordist,0.107
2024,11,2024-03-11,74,140,0.076,False,2,Camera Operator,0.119
2024,19,2024-05-06,73,140,0.074,False,1,Gaffer,0.133
2024,39,2024-09-23,73,140,0.074,False,3,Editor,0.125
2025,5,2025-01-27,73,140,0.074,False,2,Production Assistant,0.13
2023,11,2023-03-13,65,134,0.069,False,0,Drone Operator,0.132
2025,9,2025-02-24,68,140,0.069,False,0,Editor,0.098
2025,22,2025-05-26,65,135,0.069,False,4,Gaffer,0.102
2024,23,2024-06-03,66,140,0.067,False,2,Grip,0.11
2023,7,2023-02-13,55,119,0.066,False,0,Production Assistant,0.111
2025,8,2025-02-17,62,140,0.063,False,0,Director of Photography,0.12
2023,10,2023-03-06,56,130,0.062,False,1,Production Assistant,0.129
2024,8,2024-02-19,61,140,0.062,False,1,Art Director,0.114
2024,9,2024-02-26,60,140,0.061,False,1,Drone Operator,0.099
2023,4,2023-01-23,30,72,0.06,False,1,Director of Photography,0.102
2025,19,2025-05-05,58,138,0.06,False,3,Camera Operator,0.104
2024,6,2024-02-05,56,140,0.057,False,1,Grip,0.099
2023,19,2023-05-08,55,140,0.056,False,1,Camera Operator,0.095
2023,8,2023-02-20,43,121,0.051,False,0,Colorist,0.095
2024,2,2024-01-08,48,140,0.049,False,0,Grip,0.143
2024,5,2024-01-29,40,140,0.041,False,1,Sound Recordist,0.095
2025,3,2025-01-13,35,140,0.036,False,0,Production Assistant,0.065
2024,3,2024-01-15,32,140,0.033,False,0,Grip,0.055
2024,1,2024-01-01,28,140,0.029,False,0,Colorist,0.057
2023,3,2023-01-16,8,56,0.02,False,0,Drone Operator,0.057
2025,2,2025-01-06,20,140,0.02,False,0,Camera Operator,0.083
2024,4,2024-01-22,17,140,0.017,False,0,Production Assistant,0.026
2025,4,2025-01-20,9,140,0.009,False,0,Art Director,0.019
