year,invoice_currency,jobs,value_at_shoot_date_rate_ngn,value_at_2023_01_01_rate_ngn,devaluation_gain_ngn,pct_rates_gap_filled
2023.0,GBP,50,278597317.0,141258483.0,137338834.0,32.0
2023.0,USD,73,388471086.0,177767365.0,210703722.0,35.6
2023.0,,123,667068403.0,319025848.0,348042556.0,34.1
2024.0,GBP,70,981119620.0,191098881.0,790020739.0,32.9
2024.0,USD,74,1269054706.0,211847440.0,1057207266.0,50.0
2024.0,,144,2250174325.0,402946321.0,1847228005.0,41.7
2025.0,GBP,18,489890253.0,66506975.0,423383277.0,50.0
2025.0,USD,31,946226834.0,106406327.0,839820507.0,38.7
2025.0,,49,1436117087.0,172913302.0,1263203785.0,42.9
,,316,4353359816.0,894885470.0,3458474345.0,38.9
