channel_name,quarter,sessions,conversions,conversion_rate_pct,revenue_ngn,spend_ngn,clicks,cpc_ngn,cac_ngn,roas
Google,2023Q1,1720,47,2.73,4551600.0,11857213.0,46890.0,252.87,252281.0,0.38
Google,2023Q2,1749,35,2.0,3312000.0,11460823.0,48669.0,235.49,327452.0,0.29
Google,2023Q3,1786,39,2.18,4348900.0,17105592.0,71141.0,240.45,438605.0,0.25
Google,2023Q4,2328,45,1.93,4645600.0,15339642.0,67378.0,227.67,340881.0,0.3
Google,2024Q1,2450,55,2.24,5442500.0,15926370.0,63769.0,249.75,289570.0,0.34
Google,2024Q2,2317,60,2.59,5513200.0,13110725.0,57298.0,228.82,218512.0,0.42
Google,2024Q3,2424,48,1.98,3988000.0,20530196.0,78792.0,260.56,427712.0,0.19
Google,2024Q4,2929,63,2.15,6068800.0,17441074.0,76361.0,228.4,276842.0,0.35
Google,2025Q1,3160,60,1.9,5406000.0,18535109.0,67901.0,272.97,308918.0,0.29
Google,2025Q2,3214,81,2.52,7106500.0,13567818.0,63532.0,213.56,167504.0,0.52
Meta,2023Q1,3911,77,1.97,7755600.0,17036023.0,75163.0,226.65,221247.0,0.46
Meta,2023Q2,3880,85,2.19,8656300.0,14348301.0,61232.0,234.33,168804.0,0.6
Meta,2023Q3,4109,72,1.75,6722000.0,16085098.0,66635.0,241.39,223404.0,0.42
Meta,2023Q4,5197,111,2.14,10938900.0,13591094.0,63237.0,214.92,122442.0,0.8
Meta,2024Q1,5212,103,1.98,8959300.0,15082313.0,61315.0,245.98,146430.0,0.59
Meta,2024Q2,5182,105,2.03,9220300.0,17122158.0,68560.0,249.74,163068.0,0.54
Meta,2024Q3,5586,127,2.27,12110300.0,10338436.0,44591.0,231.85,81405.0,1.17
Meta,2024Q4,6449,123,1.91,11565500.0,15398952.0,61647.0,249.79,125195.0,0.75
Meta,2025Q1,6915,142,2.05,12906700.0,13841792.0,53605.0,258.22,97477.0,0.93
Meta,2025Q2,7005,154,2.2,14302100.0,13444847.0,58033.0,231.68,87304.0,1.06
TikTok,2023Q1,1267,36,2.84,3757200.0,13793908.0,60060.0,229.67,383164.0,0.27
TikTok,2023Q2,1368,34,2.49,3254800.0,13288245.0,59296.0,224.1,390831.0,0.24
TikTok,2023Q3,1349,40,2.97,3870400.0,13208191.0,51896.0,254.51,330205.0,0.29
TikTok,2023Q4,1833,47,2.56,4230300.0,12712013.0,59383.0,214.07,270468.0,0.33
TikTok,2024Q1,1801,38,2.11,3248600.0,14177383.0,61579.0,230.23,373089.0,0.23
TikTok,2024Q2,1766,40,2.27,3810200.0,16062329.0,68162.0,235.65,401558.0,0.24
TikTok,2024Q3,1995,44,2.21,3977300.0,12517570.0,54779.0,228.51,284490.0,0.32
TikTok,2024Q4,2184,49,2.24,4994100.0,13675780.0,64122.0,213.28,279098.0,0.37
TikTok,2025Q1,2393,62,2.59,5168300.0,13403573.0,58018.0,231.02,216187.0,0.39
TikTok,2025Q2,2431,42,1.73,3447100.0,12047346.0,50949.0,236.46,286842.0,0.29
YouTube,2023Q1,831,20,2.41,2055500.0,10833042.0,47415.0,228.47,541652.0,0.19
YouTube,2023Q2,840,18,2.14,1531100.0,12253682.0,54393.0,225.28,680760.0,0.12
YouTube,2023Q3,877,21,2.39,2176000.0,16734171.0,73301.0,228.29,796865.0,0.13
YouTube,2023Q4,1190,23,1.93,2011700.0,17562706.0,65975.0,266.2,763596.0,0.11
YouTube,2024Q1,1236,38,3.07,3624500.0,18617061.0,71662.0,259.79,489923.0,0.19
YouTube,2024Q2,1094,27,2.47,2758600.0,14402819.0,59882.0,240.52,533438.0,0.19
YouTube,2024Q3,1292,30,2.32,2617400.0,12908436.0,51256.0,251.84,430281.0,0.2
YouTube,2024Q4,1469,25,1.7,2581300.0,13440315.0,54650.0,245.93,537613.0,0.19
YouTube,2025Q1,1528,26,1.7,2522200.0,13524237.0,51581.0,262.19,520163.0,0.19
YouTube,2025Q2,1548,25,1.61,2429500.0,14259170.0,58700.0,242.92,570367.0,0.17
Email,2023Q1,1253,28,2.23,3296800.0,10741016.0,41860.0,256.59,383608.0,0.31
Email,2023Q2,1341,29,2.16,2446600.0,15569154.0,59060.0,263.62,536867.0,0.16
Email,2023Q3,1390,32,2.3,3176700.0,15632430.0,60056.0,260.3,488513.0,0.2
Email,2023Q4,1706,40,2.34,3561400.0,18453858.0,69106.0,267.04,461346.0,0.19
Email,2024Q1,1760,37,2.1,3075300.0,17283316.0,66990.0,258.0,467117.0,0.18
Email,2024Q2,1796,37,2.06,3617400.0,12114046.0,53979.0,224.42,327407.0,0.3
Email,2024Q3,1867,39,2.09,3340100.0,15380606.0,68037.0,226.06,394375.0,0.22
Email,2024Q4,2211,51,2.31,4515000.0,15158459.0,60737.0,249.58,297225.0,0.3
Email,2025Q1,2267,48,2.12,4453600.0,17227628.0,66135.0,260.49,358909.0,0.26
Email,2025Q2,2292,45,1.96,4008000.0,12090205.0,53768.0,224.86,268671.0,0.33
Influencer,2023Q1,0,0,,0.0,12549635.0,54333.0,230.98,,
Influencer,2023Q2,0,0,,0.0,15182268.0,68264.0,222.41,,
Influencer,2023Q3,0,0,,0.0,11110235.0,50532.0,219.87,,
Influencer,2023Q4,0,0,,0.0,12112450.0,50734.0,238.74,,
Influencer,2024Q1,0,0,,0.0,12376751.0,50170.0,246.7,,
Influencer,2024Q2,0,0,,0.0,14274695.0,66433.0,214.87,,
Influencer,2024Q3,0,0,,0.0,11185989.0,50012.0,223.67,,
Influencer,2024Q4,0,0,,0.0,13892486.0,59316.0,234.21,,
Influencer,2025Q1,0,0,,0.0,13393404.0,54331.0,246.51,,
Influencer,2025Q2,0,0,,0.0,13721533.0,57529.0,238.52,,
Direct,2023Q1,1352,41,3.03,4337800.0,0.0,,,,
Direct,2023Q2,1299,27,2.08,2237400.0,0.0,,,,
Direct,2023Q3,1419,38,2.68,3778500.0,0.0,,,,
Direct,2023Q4,1760,30,1.7,3161600.0,0.0,,,,
Direct,2024Q1,1829,32,1.75,2851800.0,0.0,,,,
Direct,2024Q2,1839,43,2.34,3715100.0,0.0,,,,
Direct,2024Q3,1866,39,2.09,3658300.0,0.0,,,,
Direct,2024Q4,2093,48,2.29,4286800.0,0.0,,,,
Direct,2025Q1,2335,49,2.1,4344400.0,0.0,,,,
Direct,2025Q2,2376,42,1.77,3736700.0,0.0,,,,
Referral / Other,2023Q1,2540,51,2.01,4957700.0,0.0,,,,
Referral / Other,2023Q2,2607,59,2.26,5626200.0,0.0,,,,
Referral / Other,2023Q3,2830,60,2.12,5072300.0,0.0,,,,
Referral / Other,2023Q4,3376,79,2.34,7295100.0,0.0,,,,
Referral / Other,2024Q1,3620,77,2.13,7151600.0,0.0,,,,
Referral / Other,2024Q2,3480,78,2.24,7405000.0,0.0,,,,
Referral / Other,2024Q3,3638,72,1.98,6929600.0,0.0,,,,
Referral / Other,2024Q4,4464,97,2.17,8434500.0,0.0,,,,
Referral / Other,2025Q1,4781,89,1.86,9457800.0,0.0,,,,
Referral / Other,2025Q2,4790,97,2.03,9655200.0,0.0,,,,
