cut,grp,buyers,repeat_buyers,repeat_90d_pct,full_90d_observed
acquisition_channel,Agency Partner,255,120,47.1,True
acquisition_channel,Email,232,96,41.4,True
acquisition_channel,Google,238,105,44.1,True
acquisition_channel,Instagram,227,104,45.8,True
acquisition_channel,Referral,228,84,36.8,True
acquisition_channel,TikTok,224,91,40.6,True
acquisition_channel,Unknown,263,124,47.1,True
acquisition_channel,Walk-in,229,103,45.0,True
all_full_window,all,1896,827,43.6,True
cohort,2023-01,293,116,39.6,True
cohort,2023-02,237,97,40.9,True
cohort,2023-03,213,91,42.7,True
cohort,2023-04,170,67,39.4,True
cohort,2023-05,149,57,38.3,True
cohort,2023-06,124,48,38.7,True
cohort,2023-07,114,48,42.1,True
cohort,2023-08,91,46,50.5,True
cohort,2023-09,80,36,45.0,True
cohort,2023-10,65,36,55.4,True
cohort,2023-11,98,47,48.0,True
cohort,2023-12,67,37,55.2,True
cohort,2024-01,36,18,50.0,True
cohort,2024-02,37,18,48.6,True
cohort,2024-03,30,13,43.3,True
cohort,2024-04,17,10,58.8,True
cohort,2024-05,12,7,58.3,True
cohort,2024-06,13,5,38.5,True
cohort,2024-07,7,2,28.6,True
cohort,2024-08,7,4,57.1,True
cohort,2024-09,14,11,78.6,True
cohort,2024-10,7,2,28.6,True
cohort,2024-11,3,3,100.0,True
cohort,2024-12,7,5,71.4,True
cohort,2025-01,3,2,66.7,True
cohort,2025-02,2,1,50.0,True
cohort,2025-04,1,0,0.0,False
